nichd,gam_score,ade
early_adolescence,-0.000330457520613499,21600100_37320136
early_childhood,-0.00021961449172273,21600100_37320136
infancy,-0.000105987629647451,21600100_37320136
late_adolescence,-0.000384097789809182,21600100_37320136
middle_childhood,-0.00027570434867803,21600100_37320136
term_neonatal,-4.85481546711322e-05,21600100_37320136
toddler,-0.000163031548150465,21600100_37320136
early_adolescence,-6.44328711006599e-06,21603497_36416500
early_childhood,-3.58882464154681e-06,21603497_36416500
infancy,-7.8858662110283e-07,21603497_36416500
late_adolescence,-7.89793819533987e-06,21603497_36416500
middle_childhood,-5.00601574866424e-06,21603497_36416500
term_neonatal,5.93031177454451e-07,21603497_36416500
toddler,-2.18340803682216e-06,21603497_36416500
early_adolescence,2.93708668255654e-08,21603312_36416590
early_childhood,-3.81627092807994e-08,21603312_36416590
infancy,-9.59820214330146e-08,21603312_36416590
late_adolescence,5.36652929959273e-08,21603312_36416590
middle_childhood,-3.96550147838671e-09,21603312_36416590
term_neonatal,-1.21426031692478e-07,21603312_36416590
toddler,-6.87211993066621e-08,21603312_36416590
early_adolescence,-0.503448709808954,21604418_36110584
early_childhood,-0.259699508366598,21604418_36110584
infancy,-0.0222833371612144,21604418_36110584
late_adolescence,-0.627427612298186,21604418_36110584
middle_childhood,-0.380395266426801,21604418_36110584
term_neonatal,0.0962421534471915,21604418_36110584
toddler,-0.140550893183109,21604418_36110584
early_adolescence,1.47240691166937,21603795_35809164
early_childhood,0.862801641378671,21603795_35809164
infancy,0.255266558958454,21603795_35809164
late_adolescence,1.77062458692961,21603795_35809164
middle_childhood,1.16849660375037,21603795_35809164
term_neonatal,-0.0467882465143676,21603795_35809164
toddler,0.558249802400574,21603795_35809164
early_adolescence,1.05467868557912,40253395_36718132
early_childhood,0.715368731500811,40253395_36718132
infancy,0.324350484952325,40253395_36718132
late_adolescence,1.21730618634343,40253395_36718132
middle_childhood,0.889576324826673,40253395_36718132
term_neonatal,0.120097527053351,40253395_36718132
toddler,0.524908845549876,40253395_36718132
early_adolescence,1.5267630649492,21602256_35909589
early_childhood,0.894875901231312,21602256_35909589
infancy,0.261247787189615,21602256_35909589
late_adolescence,1.84080312540707,21602256_35909589
middle_childhood,1.21223814479785,21602256_35909589
term_neonatal,-0.0540365091627396,21602256_35909589
toddler,0.57742649887678,21602256_35909589
early_adolescence,-1.5961952255709e-05,21604757_37320212
early_childhood,-7.6114398344131e-06,21604757_37320212
infancy,-1.67226633139597e-07,21604757_37320212
late_adolescence,-2.02683102660368e-05,21604757_37320212
middle_childhood,-1.1683226063186e-05,21604757_37320212
term_neonatal,3.3509076066413e-06,21604757_37320212
toddler,-3.79445386391948e-06,21604757_37320212
early_adolescence,3.47717908061884e-07,21604344_36110013
early_childhood,1.59630206490075e-07,21604344_36110013
infancy,-2.11964582209409e-08,21604344_36110013
late_adolescence,4.37264811724263e-07,21604344_36110013
middle_childhood,2.53612718990508e-07,21604344_36110013
term_neonatal,-1.09333651764055e-07,21604344_36110013
toddler,6.81476285288146e-08,21604344_36110013
early_adolescence,-0.00032953692094898,21603906_36211383
early_childhood,-0.00021770073797511,21603906_36211383
infancy,-9.82180723921861e-05,21603906_36211383
late_adolescence,-0.000381115002330524,21603906_36211383
middle_childhood,-0.000274933778981264,21603906_36211383
term_neonatal,-3.7352041209761e-05,21603906_36211383
toddler,-0.000158546453567565,21603906_36211383
early_adolescence,-0.856516877076081,21604718_36416516
early_childhood,-0.489565542038826,21604718_36416516
infancy,-0.142780330623749,21604718_36416516
late_adolescence,-1.04177257685541,21604718_36416516
middle_childhood,-0.6715093917517,21604718_36416516
term_neonatal,0.0266871248638773,21604718_36416516
toddler,-0.313958701576063,21604718_36416516
early_adolescence,-0.547610910851479,21604344_35607441
early_childhood,-0.336212407125731,21604344_35607441
infancy,-0.124719882244131,21604344_35607441
late_adolescence,-0.653624628879234,21604344_35607441
middle_childhood,-0.442019357225476,21604344_35607441
term_neonatal,-0.0194429848460401,21604344_35607441
toddler,-0.230401750676882,21604344_35607441
early_adolescence,2.31914035344755,21603896_36211744
early_childhood,1.37823192107575,21603896_36211744
infancy,0.423790684934497,21603896_36211744
late_adolescence,2.7711062576855,21603896_36211744
middle_childhood,1.85292498000692,21603896_36211744
term_neonatal,-0.0532980770133273,21603896_36211744
toddler,0.901092318868966,21603896_36211744
early_adolescence,0.603078120787538,21600718_35809019
early_childhood,0.382141195068211,21600718_35809019
infancy,0.159412121311518,21600718_35809019
late_adolescence,0.712754997883546,21600718_35809019
middle_childhood,0.492628483495078,21600718_35809019
term_neonatal,0.0495228254024383,21600718_35809019
toddler,0.270523388617196,21600718_35809019
early_adolescence,2.12124215886816e-05,21602734_36718079
early_childhood,1.31303532734384e-05,21602734_36718079
infancy,4.44030507253393e-06,21602734_36718079
late_adolescence,2.50393313845356e-05,21602734_36718079
middle_childhood,1.72830622410335e-05,21602734_36718079
term_neonatal,4.28961497153969e-08,21602734_36718079
toddler,8.82053730309402e-06,21602734_36718079
early_adolescence,0.740682412253249,21604417_36918945
early_childhood,0.445371151211293,21604417_36918945
infancy,0.138674395845408,21604417_36918945
late_adolescence,0.879359257361958,21604417_36918945
middle_childhood,0.595812267596823,21604417_36918945
term_neonatal,-0.0151154994483116,21604417_36918945
toddler,0.292394068952287,21604417_36918945
early_adolescence,1.39339581182643,21602806_35607297
early_childhood,0.816089467135839,21602806_35607297
infancy,0.24161514385577,21602806_35607297
late_adolescence,1.67603450379227,21602806_35607297
middle_childhood,1.10545385143085,21602806_35607297
term_neonatal,-0.0439127806364338,21602806_35607297
toddler,0.528043650441653,21602806_35607297
early_adolescence,0.826237200674833,21601824_35809130
early_childhood,0.533200931275287,21601824_35809130
infancy,0.205068872544126,21601824_35809130
late_adolescence,0.960922376404626,21601824_35809130
middle_childhood,0.685991155729148,21601824_35809130
term_neonatal,0.0373093829849394,21601824_35809130
toddler,0.37132536876035,21601824_35809130
early_adolescence,0.000102891953003525,21602504_37119769
early_childhood,6.27838553758183e-05,21602504_37119769
infancy,2.15777250548491e-05,21602504_37119769
late_adolescence,0.000122311192178446,21602504_37119769
middle_childhood,8.30730470411991e-05,21602504_37119769
term_neonatal,8.60063579327293e-07,21602504_37119769
toddler,4.22274734036672e-05,21602504_37119769
early_adolescence,0.423552506971786,21603761_42889647
early_childhood,0.213793870514625,21603761_42889647
infancy,0.0168132438225655,21603761_42889647
late_adolescence,0.531130784228527,21603761_42889647
middle_childhood,0.317162603920188,21603761_42889647
term_neonatal,-0.0789889491538972,21603761_42889647
toddler,0.113969014212167,21603761_42889647
early_adolescence,1.1704158528826,21603021_35607130
early_childhood,0.722334981707044,21603021_35607130
infancy,0.246666135873598,21603021_35607130
late_adolescence,1.3806316572297,21603021_35607130
middle_childhood,0.951964272237856,21603021_35607130
term_neonatal,0.00652473121858966,21603021_35607130
toddler,0.485947252840777,21603021_35607130
early_adolescence,0.00015618417594419,21600111_36516958
early_childhood,8.98764103385947e-05,21600111_36516958
infancy,2.43318897633447e-05,21600111_36516958
late_adolescence,0.000188856041978443,21600111_36516958
middle_childhood,0.000123042766825068,21600111_36516958
term_neonatal,-8.16277579223027e-06,21600111_36516958
toddler,5.69732328827212e-05,21600111_36516958
early_adolescence,2.98273553443348e-05,21603738_37219897
early_childhood,1.60432277624511e-05,21603738_37219897
infancy,2.62526115784228e-06,21603738_37219897
late_adolescence,3.69491453414785e-05,21603738_37219897
middle_childhood,2.28960990263158e-05,21603738_37219897
term_neonatal,-3.96267797216625e-06,21603738_37219897
toddler,9.28256785627053e-06,21603738_37219897
early_adolescence,5.02147493966165e-05,21600935_37320170
early_childhood,2.64003248713798e-05,21600935_37320170
infancy,3.94962390950377e-06,21600935_37320170
late_adolescence,6.23599657467888e-05,21600935_37320170
middle_childhood,3.81367039956427e-05,21600935_37320170
term_neonatal,-7.02353507596147e-06,21600935_37320170
toddler,1.50436944861854e-05,21600935_37320170
early_adolescence,-2.19651518837946e-06,21600493_35809381
early_childhood,-1.58493075209508e-06,21600493_35809381
infancy,-8.50874090219541e-07,21600493_35809381
late_adolescence,-2.46025644644355e-06,21600493_35809381
middle_childhood,-1.90944300741652e-06,21600493_35809381
term_neonatal,-4.64849313837635e-07,21600493_35809381
toddler,-1.22793498114443e-06,21600493_35809381
early_adolescence,-2.96262463302787e-05,21602096_36718376
early_childhood,-1.43956930895989e-05,21602096_36718376
infancy,9.43078058716403e-07,21602096_36718376
late_adolescence,-3.7148312460795e-05,21602096_36718376
middle_childhood,-2.20461224402064e-05,21602096_36718376
term_neonatal,8.4570246623101e-06,21602096_36718376
toddler,-6.7047776587557e-06,21602096_36718376
early_adolescence,0.755095541953834,21602902_35708164
early_childhood,0.416094552260478,21602902_35708164
infancy,0.0961865546747285,21602902_35708164
late_adolescence,0.932062796825539,21602902_35708164
middle_childhood,0.582655965992639,21602902_35708164
term_neonatal,-0.0606260526870811,21602902_35708164
toddler,0.254508792834854,21602902_35708164
early_adolescence,-0.000167010439097044,21602484_35205025
early_childhood,-0.000135888215527345,21602484_35205025
infancy,-8.98636396342772e-05,21602484_35205025
late_adolescence,-0.000174283633870568,21602484_35205025
middle_childhood,-0.000154848580392579,21602484_35205025
