drugA,drugB,meddra,N,type,triplet_id
21601423,21603925,36776613,11,negativo,501
21600303,21605129,35809327,13,negativo,502
21600399,21604559,37522220,18,negativo,503
21601518,21604643,35104877,11,negativo,504
21601392,21603929,36110852,12,negativo,505
21602485,21604562,36918858,10,negativo,506
21604544,21604571,35204970,17,negativo,507
21600493,21603980,36918858,10,negativo,508
21603967,21604431,35809310,16,negativo,509
21603967,21604857,35909443,10,negativo,510
21603312,21604714,36918858,11,negativo,511
21600395,21600747,35205305,13,negativo,512
21600303,21601518,36416501,14,negativo,513
21604415,21604571,36774644,12,negativo,514
21604436,21604713,36919118,12,negativo,515
21604418,21604559,35506601,12,negativo,516
21602485,21604714,37219871,35,negativo,517
21604422,21604433,43053854,16,negativo,518
21603909,21603968,35809323,13,negativo,519
21603917,21604436,36416500,13,negativo,520
21604757,21604762,36718265,10,negativo,521
21603908,21603917,35809327,57,negativo,522
21600096,21602823,35809310,15,negativo,523
21601467,21601534,37219897,12,negativo,524
21604422,21604762,36718199,13,negativo,525
21600493,21604718,36110922,10,negativo,526
21603448,21604714,35809054,13,negativo,527
21604516,21604559,35708705,10,negativo,528
21603908,21603959,35809327,19,negativo,529
21603772,21603992,35104883,10,negativo,530
21601390,21603800,36718500,11,negativo,531
21602732,21603758,36110852,13,negativo,532
21601423,21603718,36110015,12,negativo,533
21603082,21603925,35809310,41,negativo,534
21600303,21603448,37522220,10,negativo,535
21602256,21603288,35809005,13,negativo,536
21603909,21604344,35104074,10,negativo,537
21603392,21603505,42889536,32,negativo,538
21600084,21600575,35809054,13,negativo,539
21604344,21604348,37522220,110,negativo,540
21601431,21602732,37522220,46,negativo,541
21601518,21604344,36718132,10,negativo,542
21603019,21603392,35306246,21,negativo,543
21603718,21603761,35809072,11,negativo,544
21603288,21603312,42889567,10,negativo,545
21601390,21601428,35708100,10,negativo,546
21601423,21601428,35104109,31,negativo,547
21600505,21603718,37522220,11,negativo,548
21600083,21601787,35205038,10,negativo,549
21604640,21604745,36718317,12,negativo,550
21601431,21603896,35809054,31,negativo,551
21603732,21603800,35809054,19,negativo,552
21604425,21604433,35809330,15,negativo,553
21601423,21603929,35707907,33,negativo,554
21602730,21603800,37522220,45,negativo,555
21600083,21603929,36516959,11,negativo,556
21601423,21602256,35708093,91,negativo,557
21601390,21604422,37522220,17,negativo,558
21601390,21603929,36312648,14,negativo,559
21603967,21603980,35707763,17,negativo,560
21600395,21601518,35104884,12,negativo,561
21600493,21604260,36416606,10,negativo,562
21600664,21602256,35708124,12,negativo,563
21604393,21604431,43053854,13,negativo,564
21600135,21602256,35708093,10,negativo,565
21601394,21601435,35104877,52,negativo,566
21603497,21603911,35708093,10,negativo,567
21601423,21602102,35809059,13,negativo,568
21601423,21602737,35809207,66,negativo,569
21602256,21603825,37119544,10,negativo,570
21601390,21601431,35708093,28,negativo,571
21601423,21603929,37219807,10,negativo,572
21600604,21604348,35809054,22,negativo,573
21603164,21603175,36516886,11,negativo,574
21600096,21603896,35809054,21,negativo,575
21603392,21603607,37219907,10,negativo,576
21601200,21604643,36718301,12,negativo,577
21603748,21603929,35204996,10,negativo,578
21600493,21604571,35708202,50,negativo,579
21602102,21603929,36110116,12,negativo,580
21604431,21604544,36918858,16,negativo,581
21603980,21604711,36919046,10,negativo,582
21603917,21604433,35204948,12,negativo,583
21602978,21603392,37219907,32,negativo,584
21600535,21600575,35809054,17,negativo,585
21604757,21604762,36919059,46,negativo,586
21602730,21603135,35809327,10,negativo,587
21603009,21603607,36517150,10,negativo,588
21600493,21604344,35809130,10,negativo,589
21601435,21604571,36718132,10,negativo,590
21601394,21603607,35104877,17,negativo,591
21604348,21604436,35809054,14,negativo,592
21602485,21602823,35205185,10,negativo,593
21601390,21602730,35104074,26,negativo,594
21601423,21603911,35809104,34,negativo,595
21600362,21603135,35104199,10,negativo,596
21600098,21601161,35306246,11,negativo,597
21602735,21603929,35104341,35,negativo,598
21602338,21603925,35809225,12,negativo,599
21603911,21603929,36110552,18,negativo,600
21601428,21603929,35809243,12,negativo,601
21601423,21601428,36110015,14,negativo,602
21604417,21604436,36919098,23,negativo,603
21604422,21604559,36718301,11,negativo,604
21600493,21601423,35708154,42,negativo,605
21602732,21603925,36776613,14,negativo,606
21601161,21605129,36314117,13,negativo,607
21600493,21603312,35205038,12,negativo,608
21601390,21603718,35909594,17,negativo,609
21602734,21603131,37019321,12,negativo,610
21601423,21602256,36718379,11,negativo,611
21603356,21603497,37219959,12,negativo,612
21601390,21601431,37219942,14,negativo,613
21603732,21603929,36316186,10,negativo,614
21604431,21604711,36718301,11,negativo,615
21603009,21603607,36009783,10,negativo,616
21602256,21603929,37219863,11,negativo,617
21600493,21601428,36313436,10,negativo,618
21603908,21604344,35809005,10,negativo,619
21601435,40253400,35809054,11,negativo,620
21603718,21603732,35104103,72,negativo,621
21600575,21601045,42889536,24,negativo,622
21601423,21603967,36110536,10,negativo,623
21600098,21602735,35809054,13,negativo,624
21603980,21604544,42889647,13,negativo,625
21602096,21602921,35809327,13,negativo,626
21600497,21600505,35809054,19,negativo,627
21603929,21603968,36110649,35,negativo,628
21602737,21604344,35708208,31,negativo,629
21601423,21601435,36718155,12,negativo,630
21603911,21603929,36416606,21,negativo,631
21601390,21602737,35104304,14,negativo,632
21600664,21602256,37219907,14,negativo,633
21600098,21602485,36211303,34,negativo,634
21603992,21604714,35809243,12,negativo,635
21600604,21601911,37320158,21,negativo,636
21601129,21603909,37622449,10,negativo,637
21601394,21603732,35708093,26,negativo,638
21602734,21603925,35809054,73,negativo,639
21604422,21604559,36776613,13,negativo,640
21601423,21603929,36110555,11,negativo,641
21604415,21604711,36311923,14,negativo,642
21603448,21604415,36774644,12,negativo,643
21604544,21604711,36718555,11,negativo,644
21600097,21600493,35809243,20,negativo,645
21602735,21603968,35809146,17,negativo,646
21604422,21604543,36718321,16,negativo,647
21601518,21603925,35708093,19,negativo,648
21601390,21602732,35104236,17,negativo,649
21600096,21601161,35809054,16,negativo,650
21601423,21601435,36009894,19,negativo,651
21600663,21603968,35809146,17,negativo,652
21604272,21604399,37220005,13,negativo,653
21603732,21603929,35909594,13,negativo,654
21604415,21604433,36718540,26,negativo,655
21603732,21603929,42890355,26,negativo,656
21602734,21603929,35104074,16,negativo,657
21603009,21603607,36516848,16,negativo,658
21602730,21603131,35104877,13,negativo,659
21601399,21604857,35809327,11,negativo,660
21603967,21604431,36718301,12,negativo,661
21603967,21603980,36315270,17,negativo,662
21604433,40255958,36776613,12,negativo,663
21602102,21602737,37320158,53,negativo,664
21601399,21603924,36009894,30,negativo,665
21603312,21603356,36110708,17,negativo,666
21603175,21603176,35809330,13,negativo,667
21600747,21601747,42889647,14,negativo,668
21600975,21602924,35909508,11,negativo,669
21601435,21601911,35104877,10,negativo,670
21601435,21602646,35104199,10,negativo,671
21601394,21603732,36416514,16,negativo,672
21603758,21603896,36009895,30,negativo,673
21603896,21603929,36313524,10,negativo,674
21600084,21600493,35809310,12,negativo,675
21603288,21603356,35205025,12,negativo,676
21600083,21604344,36516959,11,negativo,677
21603905,21603921,35809323,16,negativo,678
21602730,21603929,36416595,46,negativo,679
21604393,21604432,37220005,14,negativo,680
21604344,21604348,36918984,46,negativo,681
21603909,21603911,35708226,14,negativo,682
21602338,21603285,36110874,10,negativo,683
21601423,21603968,35809079,10,negativo,684
21603911,21603927,36211465,11,negativo,685
21604516,21604559,36312538,14,negativo,686
21601433,21603929,36313524,10,negativo,687
21601423,21602737,36313176,22,negativo,688
21602338,21603895,35809054,29,negativo,689
21602256,21603929,36516815,11,negativo,690
21602102,21602730,36313476,22,negativo,691
21600096,21603081,35809310,11,negativo,692
21602295,21603356,37320158,14,negativo,693
21601419,21601439,37522220,15,negativo,694
21600493,21600816,37219907,12,negativo,695
21600448,21601467,35708208,10,negativo,696
21603921,21603968,35506459,28,negativo,697
21601435,21602737,35104691,34,negativo,698
21601129,21601518,42890557,12,negativo,699
21602730,21603929,35205230,25,negativo,700
21603896,21603925,36009897,64,negativo,701
21601450,21603795,37522220,15,negativo,702
21601399,21603924,35104177,10,negativo,703
21601423,21603718,36718338,10,negativo,704
21601390,21603718,36717969,19,negativo,705
21603356,21603514,36918858,20,negativo,706
21604260,21604348,35708093,12,negativo,707
21602732,21604440,35204948,13,negativo,708
21600083,21603131,35809054,18,negativo,709
21601161,21605129,35809072,12,negativo,710
21602485,21602978,37622465,49,negativo,711
21601392,21601431,37320212,11,negativo,712
21604422,21604566,36776613,22,negativo,713
21604344,21604348,36617295,15,negativo,714
21602732,21603927,37622529,31,negativo,715
21601390,21602734,36009895,10,negativo,716
21604131,21604210,36313594,21,negativo,717
21602102,21602730,35809207,22,negativo,718
21601423,21603925,36009876,26,negativo,719
21603356,21603497,35809083,13,negativo,720
21603924,21603927,36009901,10,negativo,721
21602977,21603980,35708208,17,negativo,722
21602730,21602737,35104109,57,negativo,723
21601518,21604305,37522220,10,negativo,724
21604559,21604762,35708208,16,negativo,725
21603074,21603929,36009891,10,negativo,726
21602730,21605129,35104877,10,negativo,727
21603718,21603748,35809207,31,negativo,728
21601423,21602730,35104883,102,negativo,729
21604415,21604571,36919235,17,negativo,730
21602256,21603904,37522220,10,negativo,731
21603718,21603748,35707609,13,negativo,732
21600816,21602256,35809011,12,negativo,733
21601747,21601789,37622446,15,negativo,734
21603718,21603732,35104871,17,negativo,735
21603718,21603738,37522220,11,negativo,736
21600493,21601518,37219863,11,negativo,737
21602102,21604344,36009783,10,negativo,738
21600493,21600816,42889536,21,negativo,739
21603160,21603164,35104746,23,negativo,740
21601129,21601699,35104884,12,negativo,741
21601423,21603925,35104177,62,negativo,742
21600663,21603909,36315261,42,negativo,743
21601428,21602735,36718132,10,negativo,744
21601390,21603748,35104691,16,negativo,745
21601392,21603925,37622529,15,negativo,746
21604422,21604562,35809310,17,negativo,747
21602096,21604857,36919235,11,negativo,748
21604529,21604543,35809043,18,negativo,749
21602256,21604344,35809327,19,negativo,750
21601435,21603929,35809310,58,negativo,751
21604543,21604562,36919235,20,negativo,752
21601428,21603618,36617310,10,negativo,753
21602096,21603135,35707763,10,negativo,754
21600816,21601161,37522181,20,negativo,755
21603732,21603929,35104339,12,negativo,756
21602256,21603911,37219960,31,negativo,757
21601518,21603925,35809054,24,negativo,758
21602256,21603968,36313153,21,negativo,759
21604272,21604432,43053854,21,negativo,760
21602485,21603968,35809131,21,negativo,761
21603909,21603917,37320205,31,negativo,762
21604193,21604272,35205259,11,negativo,763
21600303,21604348,35708208,23,negativo,764
