triplet_id,drugA,drugB,meddra,type,N,dynamic,fold_change,model_success,injection_success,n_injected,n_coadmin,n_events,n_stages_significant,max_ior,mean_ior,model_aic,stage,log_ior,log_ior_lower90,ior_values,message
1,21603905,21603929,35809115,positive,0,uniform,1.88221651564042,FALSE,FALSE,0,224,,,,,,"1,2,3,4,5,6,7","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",No se generaron eventos nuevos con las probabilidades dinámicas
2,21601161,21604348,35708093,positive,5831,increase,2.57288418207925,TRUE,TRUE,0,235,5831,2,320.076094881401,48.0968492165475,55417.5094732384,"1,2,3,4,5,6,7","0.100647415601152,0.809848410354012,0.871564944027389,2.32434063072349,5.76855876402904,-0.449854605191851,-9.35477497805221","-6.21889378284929,-0.443531791456542,-0.746537219872073,1.4721264723082,4.97786114703803,-1.87552712951817,-17.7160938995857","1.10588665463446,2.24756725292706,2.39064915976548,10.2199391497691,320.076094881401,0.637720866184494,8.65511509746391e-05",
3,21601428,21601435,37622462,positive,133,decrease,2.09441179404022,TRUE,TRUE,0,777,133,3,46052.6899234013,8024.31585291712,1086.45380417343,"1,2,3,4,5,6,7","10.7375414530807,9.14218038110318,6.64018900873431,2.07265185188496,0.647332011765579,-0.0175480365397931,-1.10142118827242","5.62624038266748,6.79719506548019,4.5787892164686,-0.0951896350210863,-1.653470649187,-2.52156522766062,-5.38440210183813","46052.6899234013,9341.11012384968,765.239616323401,7.9458664645599,1.91043700012474,0.982605033585573,0.332398347221036",
4,21602256,21603912,35809327,positive,13252,plateau,1.36364407837391,TRUE,TRUE,0,94,13252,5,58.5225835039879,32.6476502362606,104493.26126315,"1,2,3,4,5,6,7","2.7442734156446,3.32163824633072,3.80957547585588,4.06941272254567,3.91667137628827,3.18575998535203,1.97436705882798","-3.58084081085795,-1.32828652836142,0.442055212020743,1.76023420062614,2.59565795621509,2.62489620824974,1.15516978085006","15.5533090346817,27.705702164734,45.1312754828497,58.5225835039879,50.2329595647628,24.185662172044,7.2020597307642",
5,21603800,21603929,36110026,positive,798,inverse_plateau,3.6991820706797,TRUE,TRUE,0,1578,798,2,180.362281326329,29.7742711910664,7241.15573616712,"1,2,3,4,5,6,7","3.07117555933239,-0.0165074731301704,-1.77142465307993,0.0438378270346131,-0.904994764553344,5.19496750221058,1.35771488896738","-8.8029946283992,-1.93741503086264,-4.2556777495562,-0.882055952915243,-2.05453881357911,4.38624248572479,0.218166854057117","21.5672413503696,0.983628028582909,0.170090496183224,1.04481290074199,0.404544003066022,180.362281326329,3.88730023219156",
6,21601394,21603730,35104103,positive,0,uniform,5.27496369657364,FALSE,FALSE,0,205,,,,,,"1,2,3,4,5,6,7","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",No se generaron eventos nuevos con las probabilidades dinámicas
7,21601423,21603800,37080784,positive,1804,increase,2.58148460705441,TRUE,TRUE,0,1396,1804,2,14924.7814792995,2166.61501510159,14503.8100157852,"1,2,3,4,5,6,7","-13.1541668344648,-8.97714241735367,-4.52921492575003,0.293194870155417,5.47754935642201,9.61077829690066,-0.0917241060574767","-47.8110787974204,-27.4852003116683,-11.6460938051916,-0.42182496076104,4.84328668511869,7.44334192073178,-1.67864864360318","1.93739390783458e-06,0.000126263139831196,0.0107891430270841,1.34070402817947,239.259648211316,14924.7814792995,0.912356828547554",
8,21601911,21603448,37622449,positive,3122,decrease,2.41689004619282,TRUE,TRUE,0,127,3122,3,34.9824068994593,9.67556058597668,33596.6664668636,"1,2,3,4,5,6,7","1.00636583886729,2.65559665802855,3.55484527509807,2.50566760871304,0.881083306669006,-0.168546263788176,-1.31953574535352","-2.11549115316324,1.51117338863112,2.28505986979716,1.55276656312112,-0.0791016474302656,-1.16046845279359,-3.48643034093848","2.73564116732964,14.2334760440258,34.9824068994593,12.2517356015381,2.41351286531815,0.844892174602147,0.267259349563636",
9,21600096,21604571,36718132,positive,9298,plateau,1.9030370687445,TRUE,TRUE,0,198,9298,2,224.274207834626,32.6694747203836,78413.0486912155,"1,2,3,4,5,6,7","-16.0080470548328,-10.8709653524167,-5.44939051512758,0.686285004870129,5.41286944532285,0.883567188240199,-6.23514609823634","-51.2640830969552,-31.991528284733,-15.5259808211432,-2.29657238771695,4.00336481744923,0.238173038384959,-14.7485335651178","1.11633231856624e-07,1.9002018408443e-05,0.00429892402160884,1.98632263054806,224.274207834626,2.41951519690052,0.00195934293686693",
10,21601423,21602256,37219863,positive,1579,inverse_plateau,2.1351874110091,TRUE,TRUE,0,1560,1579,2,1055.35319726481,151.415893108257,12885.5860669202,"1,2,3,4,5,6,7","-17.9459294487395,-14.4369695599213,-10.4997452386023,-5.4768341762468,1.46698430094814,6.96163077401973,-1.52461465381387","-81.7054958342368,-56.7537547109701,-35.5210311964232,-16.4465177390603,0.649462716321692,6.47063392421389,-5.32109309320755","1.60761432638402e-08,5.37160147886706e-07,2.75434654677524e-05,0.00418254997639085,4.33613891383677,1055.35319726481,0.217704932469053",
11,21603312,21603356,37219907,positive,0,uniform,1.15546844402949,FALSE,FALSE,0,1078,,,,,,"1,2,3,4,5,6,7","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",No se generaron eventos nuevos con las probabilidades dinámicas
12,21602256,21604741,36919230,positive,2094,increase,1.16636935158247,TRUE,TRUE,0,76,2094,2,397.159990317256,99.2746633666167,21503.769152717,"1,2,3,4,5,6,7","-3.22789189238298,-1.10140730987993,1.06085080823844,3.31231427603446,5.5823440156711,5.98433919778543,0.307145940034145","-30.3449578954945,-19.1713507853567,-9.92372762373249,-2.371664211454,3.29241785411406,4.02868833542877,-0.433863881483458","0.0396409782137952,0.332402960407774,2.88882778246658,27.448575603724,265.693666559433,397.159990317256,1.35953936481594",
13,21604436,21604574,36776613,positive,4338,decrease,1.05849475227296,TRUE,TRUE,0,759,4338,0,1.96030121203277,0.359439090114682,39609.1848473271,"1,2,3,4,5,6,7","-8.34653879445524,-2.9607622572602,0.673098141043481,-1.86331678921425,-2.3026179604689,-1.90861938027782,-2.29942076938556","-13.331682005184,-3.42004061066094,-0.105218513608835,-2.16914278696017,-2.60976742006032,-2.2255140835078,-2.84598955762692","0.000237216153012607,0.0517794328774023,1.96030121203277,0.15515715240508,0.0999967133065277,0.148284970491448,0.100316933536531",
14,21604433,21604574,35809340,positive,197,plateau,1.44173135980964,TRUE,TRUE,0,342,197,3,324.811847446217,49.746324988746,2116.34681112194,"1,2,3,4,5,6,7","0.865266635320512,0.742964588516891,-1.57251937752576,0.664879882612023,5.7832460837498,1.51177450106781,2.50536922623456","-4.15642240778742,-0.693174737835438,-4.33550904512827,-0.669839999092957,4.67315829086539,0.0764989255570498,1.01435206128055","2.37563943091838,2.10215832032456,0.207521697704872,1.94425696824164,324.811847446217,4.53477061416722,12.2480804436484",
15,21601390,21601435,36718123,positive,872,inverse_plateau,1.83055393584073,TRUE,TRUE,0,1925,872,1,18.4408054785893,3.37966824917635,4929.33443873747,"1,2,3,4,5,6,7","1.49709405828292,-0.862197212303951,-3.94775658023419,-3.35624589291094,-1.93482682242624,2.91456589822594,-2.06088392927482","-4.02963319573724,-2.42553464759697,-5.91221637180599,-4.47878593536477,-2.59704631214697,2.43874525123993,-3.56721223614056","4.4686844475949,0.422233326094864,0.0192979466439936,0.034865903900726,0.14444928203381,18.4408054785893,0.127341359376837",
16,21603908,21603968,36516779,positive,0,uniform,4.0259472055543,FALSE,FALSE,0,282,,,,,,"1,2,3,4,5,6,7","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",No se generaron eventos nuevos con las probabilidades dinámicas
17,21600664,21603911,37219907,positive,3887,increase,3.64947436987085,TRUE,TRUE,0,593,3887,1,48.9227042739673,8.05027797742391,39873.3353583257,"1,2,3,4,5,6,7","-8.5240269613174,-5.37515999059796,-2.07413644323556,1.6121900445,3.89024158880803,0.05505631359744,0.205686561297094","-37.1794616688079,-22.8605507737561,-10.8166973168077,-1.33636129009698,3.07268375326936,-0.691659567662717,-0.578992723969398","0.000198637905441029,0.00463017788934162,0.125664899424572,5.0137796132898,48.9227042739673,1.05660011395364,1.22836812553726",
18,21603481,21603980,35809243,positive,0,decrease,2.28147239853304,FALSE,FALSE,0,44,,,,,,"1,2,3,4,5,6,7","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",No se generaron eventos nuevos con las probabilidades dinámicas
19,21601423,21603929,36110039,positive,0,plateau,1.38912209371726,FALSE,FALSE,0,12320,,,,,,"1,2,3,4,5,6,7","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",Tasa base muy baja: t_ij = 0.0008
20,21604437,21604440,36776613,positive,4280,inverse_plateau,3.62816899506969,TRUE,TRUE,0,87,4280,0,1.10211921083512,0.490184424133342,41768.1152214878,"1,2,3,4,5,6,7","0.0972348816814144,-0.296690547565734,-0.684623140464273,-1.03746340882164,-1.30796313702829,-1.45915590755387,-1.49404636792669","-1.46183139357826,-1.25810035542396,-1.35533748451938,-1.84988268650645,-2.2096010928956,-2.10876981772424,-2.15385625640155","1.10211921083512,0.74327398472125,0.504280236585436,0.354352390064876,0.270370202962954,0.23243238637151,0.224462557392246",
21,21604433,21604562,35809327,positive,0,uniform,5.02846336119111,FALSE,FALSE,0,136,,,,,,"1,2,3,4,5,6,7","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",No se generaron eventos nuevos con las probabilidades dinámicas
22,21604344,21604348,35708628,positive,3664,increase,1.13138622480134,TRUE,TRUE,0,4271,3664,2,3179.43322421389,501.266708575212,19229.6947094584,"1,2,3,4,5,6,7","-12.5618553037311,-8.53268756024931,-4.25719317453391,0.540244372818615,5.79176239707873,8.06445822850984,-2.17959079726484","-47.2076575569709,-27.9712725205906,-12.3209089200196,-1.34596022308204,4.08933472726997,6.35008223617917,-4.40400235424264","3.50312439380104e-06,0.000196925010264828,0.0141619969299427,1.71642625886102,327.589859331652,3179.43322421389,0.113087797009491",
23,21601518,21602732,36718119,positive,1039,decrease,1.60436730273068,TRUE,TRUE,0,244,1039,4,598.390728759181,97.4607244524881,13061.2060252932,"1,2,3,4,5,6,7","1.95415597505933,6.39424393315652,4.18371167807136,0.357740538830952,0.273151686447703,1.12315086993663,1.67686129771895","-0.427393992807843,4.70674005031006,3.35295149557516,-1.30783742756099,-0.925802817549189,0.270867986479896,0.422174119688062","7.05795941524922,598.39072875918,65.608921033695,1.4300945183431,1.3140995608019,3.07452639016161,5.34874148998535",
24,21602102,21603925,37522220,positive,16810,plateau,1.93078802670057,TRUE,TRUE,0,104,16810,5,74.6125711746178,16.634541587657,123299.75827899,"1,2,3,4,5,6,7","0.606310687789958,1.376882947532,1.0741709782986,2.19418315163353,4.31230900741782,1.35653595121519,3.00815881014597","-3.56911472813956,0.0817059944908325,-0.353281757951368,1.0089273473405,2.74231352976414,0.682983496075808,2.23743322071463","1.8336539824401,3.96253094062288,2.92756487941436,8.97266875272322,74.6125711746178,3.88272004760051,20.2500813361802",
25,21601129,21603908,35809076,positive,6141,inverse_plateau,1.734124838685,TRUE,TRUE,0,391,6141,1,169.866112464835,24.4071620948721,56310.0249702521,"1,2,3,4,5,6,7","-17.7931162895886,-14.9077781908404,-11.5771184129792,-7.11707651344688,-0.635671833402499,5.13501055301487,-0.790491572053229","-73.18750040677,-51.9058525673731,-33.7130970482956,-17.0906854975394,-2.12502932984502,4.73795231597547,-2.31284138284166","1.87304313737588e-08,3.35454941918367e-07,9.37824030793009e-06,0.00081113462938929,0.529579579524442,169.866112464835,0.453621752689736",
26,21604436,21604574,35809077,positive,0,uniform,2.29702968635407,FALSE,FALSE,0,759,,,,,,"1,2,3,4,5,6,7","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",No se generaron eventos nuevos con las probabilidades dinámicas
27,21600718,21600747,42889636,positive,2705,increase,2.04818908688798,TRUE,TRUE,0,39,2705,0,5.33572765417274,2.81119737858573,15210.5778679671,"1,2,3,4,5,6,7","0.110980281608388,0.374370158325699,0.641148183890902,0.909063478414423,1.17232913075636,1.42576585214686,1.67442526798782","-0.795182933208602,-1.1337028149407,-1.78640452095869,-2.4911738114752,-3.187571537946,-3.85608847603018,-4.52265210893481","1.11737287384133,1.45407528892688,1.89865963866882,2.48199700083246,3.2295058268822,4.16104336677571,5.33572765417274",
28,21604566,21604643,36416500,positive,234,decrease,1.22332741009692,TRUE,TRUE,0,170,234,2,50.5987820095968,9.60263310282613,2890.23011133859,"1,2,3,4,5,6,7","-1.4531889806106,3.92392750504712,2.79102629561983,-2.4328968289273,-8.09425922109797,-13.5640687011545,-18.9516533165618","-4.38026048413892,2.73892087344914,1.44733960051596,-5.94934226832338,-17.5999105530819,-32.1322115485721,-48.7994757682782","0.233823439469065,50.5987820095968,16.2977375182896,0.0877821739683827,0.000305286700544091,1.28587813283347e-06,5.88032786896797e-09",
29,21600718,21601789,36818729,positive,0,plateau,1.57433077739733,FALSE,FALSE,0,14,,,,,,"1,2,3,4,5,6,7","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",No se generaron eventos nuevos con las probabilidades dinámicas
30,21600083,21604571,35104883,positive,2448,inverse_plateau,2.15941308652959,TRUE,TRUE,0,178,2448,2,289.559745627409,44.2947217665079,27143.2981085364,"1,2,3,4,5,6,7","1.36318016402525,0.972643472322195,-0.720662631751692,-1.49320715847458,1.20539573199982,5.66836165094482,2.29259692971124","-3.6747837054525,-0.89062035453732,-4.48185288748018,-4.90869046472543,-0.149370509752415,5.06637771433135,1.11127112225852","3.90860355843565,2.64492701755347,0.48642982529816,0.224651007555574,3.33807980171935,289.559745627409,9.90061552758414",
31,21602735,21603911,43053808,positive,0,uniform,1.16489859299139,FALSE,FALSE,0,918,,,,,,"1,2,3,4,5,6,7","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",No se generaron eventos nuevos con las probabilidades dinámicas
32,21601423,21603929,36211465,positive,10537,increase,2.17362966507039,TRUE,TRUE,0,12320,10537,0,981845996.578162,147730321.462087,35744.8532365049,"1,2,3,4,5,6,7","-6.64226302449205,-0.583116860091129,5.55218571646949,11.7586722813267,17.7678386571974,20.7049450277251,11.3110459345946","-66.2610002215932,-57.6463237237389,-53.8595507111569,-49.9443866700944,-43.9391617293929,-41.0019150272798,-50.4004483785014","0.00130407275347474,0.558155958523208,257.800419173964,127857.581807451,52056418.3778603,981845996.578162,81719.336899076",
33,21601518,21601699,36818646,positive,34,decrease,2.39983697229983,TRUE,TRUE,0,67,34,4,13540.5946938828,4200.44541055851,262.675158576007,"1,2,3,4,5,6,7","8.73342377640042,9.51344746676341,9.00087138303347,7.21376330292092,5.10005967932574,3.02911466895174,1.00375619363388","2.54774177539232,2.83579307460026,2.31988938333063,0.838407860983313,-1.61521635122942,-5.13758437719977,-9.86919525590049","6206.94295784996,13540.5946938828,8110.14789469225,1357.9932029585,164.031696308833,20.6789167957318,2.72851142149689",
34,21601431,21603758,42889498,positive,295,plateau,2.78830776233834,TRUE,TRUE,0,290,295,1,3.94460556127582,0.620478580571744,3062.09067564131,"1,2,3,4,5,6,7","-2.89798427887197,-1.9457937902844,-3.20449979147592,-1.88947459342824,1.37234896483159,-4.71002753588037,-13.3677698223227","-7.12269928399592,-2.95154148828843,-4.39947026306287,-2.7781060406899,0.366634792142221,-7.31198573290731,-22.8011345244288","0.0551342433820469,0.142873766505836,0.0405791946211371,0.151151203813036,3.94460556127582,0.00900452963137213,1.56477295320278e-06",
35,21602338,21602734,36009894,positive,597,inverse_plateau,12.8758214010034,TRUE,TRUE,0,685,597,2,137.298534292821,20.4064741386198,4634.25783823267,"1,2,3,4,5,6,7","0.758205447132402,0.971566017869337,-2.69511820907887,-1.42212639173411,-1.55736611950293,4.92215763750078,-1.38294698813769","-4.2117269612264,0.17549981856706,-4.87380172847258,-2.59420084191037,-2.37260328513864,4.34391546162536,-2.93483642924396","2.13444241178869,2.64207876386828,0.0675343981233694,0.24120058428238,0.210690274032056,137.298534292821,0.250838245422886",
36,21600575,21603082,35809054,positive,0,uniform,1.71977024960021,FALSE,FALSE,0,46,,,,,,"1,2,3,4,5,6,7","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",No se generaron eventos nuevos con las probabilidades dinámicas
