table,field,description,type
drug,atc_concept_id,The ATC 5th level OMOP concept identifier.,int
drug,atc_concept_name,"The ATC 5th level OMOP concept name. In the ade_nichd_enrichment table, this ATC concept is from any level in the hierarchy.",character
drug,atc_concept_code,The ATC 5th level OMOP concept code.,character
drug,ndrugreports,The number of reports of the drug in Pediatric FAERS.,int
drug,atc4_concept_name,The ATC 4th level OMOP concept name.,character
drug,atc4_concept_code,The ATC 4th level OMOP concept code.,character
drug,atc3_concept_name,The ATC 3rd level OMOP concept name.,character
drug,atc3_concept_code,The ATC 3rd level OMOP concept code.,character
drug,atc2_concept_name,The ATC 2nd level OMOP concept name.,character
drug,atc2_concept_code,The ATC 2nd level OMOP concept code.,character
drug,atc1_concept_name,The ATC 1st level OMOP concept name.,character
drug,atc1_concept_code,The ATC 1st level OMOP concept code.,character
event,meddra_concept_name_4,The MedDRA system organ class concept name.,character
event,meddra_concept_id,The MedDRA preferred term OMOP concept identifier.,int
event,neventreports,The number of adverse event reports in Pediatric FAERS.,int
event,meddra_concept_class_id_1,The MedDRA preferred term concept class identifier.,character
event,meddra_concept_class_id_2,The MedDRA higher level concept class identifier.,character
event,meddra_concept_class_id_3,The MedDRA higher level greater term concept class identifier.,character
event,meddra_concept_class_id_4,The MedDRA system organ class concept class identifier.,character
event,meddra_concept_code_1,The MedDRA preferred term concept code identifier.,character
event,meddra_concept_code_2,The MedDRA higher level concept code identifier.,character
event,meddra_concept_code_3,The MedDRA higher level greater term concept code identifier.,character
event,meddra_concept_code_4,The MedDRA system organ class concept code identifier.,character
event,meddra_concept_id_2,The MedDRA higher level concept identifier.,int
event,meddra_concept_id_3,The MedDRA higher level greater term concept identifier.,int
event,meddra_concept_id_4,The MedDRA system organ class concept identifier.,int
event,meddra_concept_name_1,The MedDRA preferred term concept name. Same as 'meddra_concept_name',character
event,meddra_concept_name_2,The MedDRA higher level concept name.,character
event,meddra_concept_name_3,The MedDRA higher level greater term concept name.,character
event,relationship_id_12,The relationship identifier between columns *1 and *2; should be 'Is a' denoting 1-to-1 mapping.,character
event,relationship_id_23,The relationship identifier between columns *2 and *3; should be 'Is a' denoting 1-to-1 mapping.,character
event,relationship_id_34,The relationship identifier between columns *3 and *4; should be 'Is a' denoting 1-to-1 mapping.,character
event,soc_category,The customized category to represent meddra_concept_name_4 events more broadly as used in the manuscript. Developed in consultation with https://admin.new.meddra.org/sites/default/files/guidance/file/intguide_21_0_english.pdf.,character
