atc_concept_id,atc_concept_name,atc_concept_code,ndrugreports,atc4_concept_name,atc4_concept_code,atc3_concept_name,atc3_concept_code,atc2_concept_name,atc2_concept_code,atc1_concept_name,atc1_concept_code
1588648,valsartan and sacubitril,C09DX04,1,"Angiotensin II receptor blockers (ARBs), other combinations",C09DX,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",C09D,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C
1588697,ivacaftor and lumacaftor,R07AX30,1142,Other respiratory system products,R07AX,OTHER RESPIRATORY SYSTEM PRODUCTS,R07A,OTHER RESPIRATORY SYSTEM PRODUCTS,R07,RESPIRATORY SYSTEM,R
21600005,sodium fluoride; oral,A01AA01,73,Caries prophylactic agents,A01AA,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01,ALIMENTARY TRACT AND METABOLISM,A
21600008,stannous fluoride; oral,A01AA04,66,Caries prophylactic agents,A01AA,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01,ALIMENTARY TRACT AND METABOLISM,A
21600012,hydrogen peroxide; oral,A01AB02,9,Antiinfectives and antiseptics for local oral treatment,A01AB,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01,ALIMENTARY TRACT AND METABOLISM,A
21600013,chlorhexidine; oral,A01AB03,91,Antiinfectives and antiseptics for local oral treatment,A01AB,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01,ALIMENTARY TRACT AND METABOLISM,A
21600019,miconazole; oral,A01AB09,51,Antiinfectives and antiseptics for local oral treatment,A01AB,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01,ALIMENTARY TRACT AND METABOLISM,A
21600034,triamcinolone; oral,A01AC01,168,Corticosteroids for local oral treatment,A01AC,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01,ALIMENTARY TRACT AND METABOLISM,A
21600056,aluminium hydroxide,A02AB01,13,Aluminium compounds,A02AB,ANTACIDS,A02A,DRUGS FOR ACID RELATED DISORDERS,A02,ALIMENTARY TRACT AND METABOLISM,A
21600082,cimetidine; systemic,A02BA01,84,H2-receptor antagonists,A02BA,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02B,DRUGS FOR ACID RELATED DISORDERS,A02,ALIMENTARY TRACT AND METABOLISM,A
21600083,ranitidine; systemic,A02BA02,3699,H2-receptor antagonists,A02BA,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02B,DRUGS FOR ACID RELATED DISORDERS,A02,ALIMENTARY TRACT AND METABOLISM,A
21600084,famotidine; systemic,A02BA03,1140,H2-receptor antagonists,A02BA,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02B,DRUGS FOR ACID RELATED DISORDERS,A02,ALIMENTARY TRACT AND METABOLISM,A
21600085,nizatidine; systemic,A02BA04,7,H2-receptor antagonists,A02BA,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02B,DRUGS FOR ACID RELATED DISORDERS,A02,ALIMENTARY TRACT AND METABOLISM,A
21600093,misoprostol; oral,A02BB01,474,Prostaglandins,A02BB,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02B,DRUGS FOR ACID RELATED DISORDERS,A02,ALIMENTARY TRACT AND METABOLISM,A
21600096,omeprazole; systemic,A02BC01,4345,Proton pump inhibitors,A02BC,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02B,DRUGS FOR ACID RELATED DISORDERS,A02,ALIMENTARY TRACT AND METABOLISM,A
21600097,pantoprazole; systemic,A02BC02,1313,Proton pump inhibitors,A02BC,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02B,DRUGS FOR ACID RELATED DISORDERS,A02,ALIMENTARY TRACT AND METABOLISM,A
21600098,lansoprazole; oral,A02BC03,2558,Proton pump inhibitors,A02BC,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02B,DRUGS FOR ACID RELATED DISORDERS,A02,ALIMENTARY TRACT AND METABOLISM,A
21600099,rabeprazole; oral,A02BC04,112,Proton pump inhibitors,A02BC,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02B,DRUGS FOR ACID RELATED DISORDERS,A02,ALIMENTARY TRACT AND METABOLISM,A
