drugbank_id,id,type,action,uniprot_id,entrez_id,gene_symbol,atc_concept_id
DB00001,BE0000048,target,inhibitor,P00734,2147,F2,21601021
DB00002,BE0000767,target,binder,P00533,1956,EGFR,21603760
DB00002,BE0000901,target,binder,O75015,2215,FCGR3B,21603760
DB00002,BE0002094,target,binder,P02745,712,C1QA,21603760
DB00002,BE0002095,target,binder,P02746,713,C1QB,21603760
DB00002,BE0002096,target,binder,P02747,714,C1QC,21603760
DB00002,BE0002097,target,binder,P08637,2214,FCGR3A,21603760
DB00002,BE0000710,target,binder,P12314,2209,FCGR1A,21603760
DB00002,BE0002098,target,binder,P12318,2212,FCGR2A,21603760
DB00004,BE0000658,target,binder,P01589,3559,IL2RA,21603803
DB00004,BE0000651,target,agonist,P14784,3560,IL2RB,21603803
DB00005,BE0000704,target,antibody,P01375,7124,TNF,21603908
DB00005,BE0000710,target,ligand,P12314,2209,FCGR1A,21603908
DB00005,BE0002098,target,ligand,P12318,2212,FCGR2A,21603908
DB00005,BE0002099,target,ligand,P31994,2213,FCGR2B,21603908
DB00005,BE0002100,target,ligand,P31995,9103,FCGR2C,21603908
DB00005,BE0002097,target,ligand,P08637,2214,FCGR3A,21603908
DB00005,BE0000901,target,ligand,O75015,2215,FCGR3B,21603908
DB00005,BE0001087,target,antibody,P01374,4049,LTA,21603908
DB00005,BE0009995,target,ligand,P02745,712,C1QA,21603908
DB00006,BE0001075,enzyme,inhibitor,P05164,4353,MPO,21601025
DB00006,BE0000048,target,inhibitor,P00734,2147,F2,21601025
DB00007,BE0000203,target,agonist,P30968,2798,GNRHR,21603825
DB00008,BE0002433,enzyme,inhibitor,P05177,1544,CYP1A2,21603868
DB00008,BE0000385,target,agonist,P48551,3455,IFNAR2,21603868
DB00008,BE0000661,target,agonist,P17181,3454,IFNAR1,21603868
DB00009,BE0000211,target,activator,P00747,5340,PLG,21601008
DB00010,BE0000625,target,agonist,Q02643,2692,GHRHR,21602693
DB00010,BE0000625,target,agonist,Q02643,2692,GHRHR,21605310
DB00011,BE0000661,target,agonist,P17181,3454,IFNAR1,21603863
DB00011,BE0000385,target,agonist,P48551,3455,IFNAR2,21603863
DB00012,BE0000654,target,agonist,P19235,2057,EPOR,21601134
DB00013,BE0000211,target,activator,P00747,5340,PLG,21601010
DB00013,BE0000717,target,inducer,Q03405,5329,PLAUR,21601010
DB00013,BE0000240,target,substrate,P05121,5054,SERPINE1,21601010
DB00013,BE0000969,target,substrate,P05120,5055,SERPINB2,21601010
DB00013,BE0002112,target,substrate,P05154,5104,SERPINA5,21601010
DB00013,BE0000942,target,substrate,P98164,4036,LRP2,21601010
DB00013,BE0001656,target,substrate,Q9Y5Y6,6768,ST14,21601010
DB00013,BE0002113,target,ligand,P14543,4811,NID1,21601010
DB00014,BE0000134,target,agonist,P22888,3973,LHCGR,21603826
DB00014,BE0000203,target,agonist,P30968,2798,GNRHR,21603826
DB00015,BE0000211,target,activator,P00747,5340,PLG,21601013
DB00016,BE0000654,target,agonist,P19235,2057,EPOR,21601133
DB00017,BE0000431,target,agonist,P30988,799,CALCR,21602787
DB00019,BE0000793,target,agonist,Q99062,1441,CSF3R,21603856
