gene_symbol,probe
CYP2E1,1431_at
CYP2A6,1494_f_at
PLD1,177_at
SOD1,200642_at
HK1,200697_at
PGK1,200737_at
PGK1,200738_s_at
MAT2A,200768_s_at
MAT2A,200769_s_at
GSTP1,200824_at
CKB,200884_at
ANXA1,201012_at
TGM2,201042_at
DCTN1,201082_s_at
SLC4A5,201082_s_at
SLC7A5,201195_s_at
SLC2A1,201249_at
SLC2A1,201250_s_at
TXNRD1,201266_at
NME2,201268_at
NME1-NME2,201268_at
AKR1B1,201272_at
ALDH2,201425_at
CAT,201432_at
NQO1,201467_s_at
NQO1,201468_s_at
MARS1,201475_x_at
SRM,201516_at
DCTD,201571_s_at
DCTD,201572_x_at
NME1,201577_at
GJA1,201667_at
PNP,201695_s_at
NDUFS3,201740_at
SLC29A1,201801_s_at
SLC29A1,201802_at
SCARB1,201819_at
IMPDH2,201892_s_at
AKR1A1,201900_s_at
SLC20A1,201920_at
HEXB,201944_at
NDUFS2,201966_at
ST14,202005_at
EPHX1,202017_at
LDLR,202067_s_at
LDLR,202068_s_at
BLMH,202179_at
SLC16A1,202234_s_at
SLC16A1,202235_at
SLC16A1,202236_s_at
TK1,202338_at
CYP1B1,202434_s_at
CYP1B1,202435_s_at
CYP1B1,202436_s_at
CYP1B1,202437_s_at
IDS,202438_x_at
IDS,202439_s_at
DHRS3,202481_at
SLC2A3,202497_x_at
SLC2A3,202498_s_at
SLC2A3,202499_s_at
DHFR,202532_s_at
DHFR,202533_s_at
DHFR,202534_x_at
HMGCR,202539_s_at
HMGCR,202540_s_at
CRABP2,202575_at
AK1,202587_s_at
AK1,202588_at
TYMS,202589_at
GUSB,202605_at
SERPINE1,202627_s_at
SERPINE1,202628_s_at
PDXK,202671_s_at
UMPS,202706_s_at
UMPS,202707_at
CAD,202715_at
SLC20A2,202744_at
SLC7A8,202752_x_at
ABCC1,202804_at
ABCC1,202805_s_at
RALBP1,202844_s_at
RALBP1,202845_s_at
HPRT1,202854_at
SLC16A3,202855_s_at
SLC16A3,202856_s_at
