ATC_concept_class_id,ATC_concept_id,ATC_concept_name,Control,MedDRA_concept_class_id,MedDRA_concept_id,MedDRA_concept_name,ade,ade_name
ATC 5th,21602320,isotretinoin,N,PT,36315573,Blood creatinine abnormal,21602320_36315573,isotretinoin and Blood creatinine abnormal
ATC 5th,21602320,isotretinoin,N,PT,36315575,Blood creatinine increased,21602320_36315575,isotretinoin and Blood creatinine increased
ATC 5th,21602320,isotretinoin,N,PT,36315595,Creatinine renal clearance decreased,21602320_36315595,isotretinoin and Creatinine renal clearance decreased
ATC 5th,21602320,isotretinoin,N,PT,36315611,Inulin renal clearance decreased,21602320_36315611,isotretinoin and Inulin renal clearance decreased
ATC 5th,21602320,isotretinoin,N,PT,37019353,Renal cortical necrosis,21602320_37019353,isotretinoin and Renal cortical necrosis
ATC 5th,21602320,isotretinoin,N,PT,35506541,Renal papillary necrosis,21602320_35506541,isotretinoin and Renal papillary necrosis
ATC 5th,21602320,isotretinoin,N,PT,36315599,Creatinine urine decreased,21602320_36315599,isotretinoin and Creatinine urine decreased
ATC 5th,21602320,isotretinoin,N,PT,36315594,Creatinine renal clearance abnormal,21602320_36315594,isotretinoin and Creatinine renal clearance abnormal
ATC 5th,21602320,isotretinoin,N,PT,36313522,Alanine aminotransferase abnormal,21602320_36313522,isotretinoin and Alanine aminotransferase abnormal
ATC 5th,21602320,isotretinoin,N,PT,36313524,Alanine aminotransferase increased,21602320_36313524,isotretinoin and Alanine aminotransferase increased
ATC 5th,21602320,isotretinoin,N,PT,35909522,Biliary cirrhosis,21602320_35909522,isotretinoin and Biliary cirrhosis
ATC 5th,21602320,isotretinoin,N,PT,36313544,Bilirubin conjugated increased,21602320_36313544,isotretinoin and Bilirubin conjugated increased
ATC 5th,21602320,isotretinoin,N,PT,35909527,Hepatic cirrhosis,21602320_35909527,isotretinoin and Hepatic cirrhosis
ATC 5th,21602320,isotretinoin,N,PT,35909611,Hepatic necrosis,21602320_35909611,isotretinoin and Hepatic necrosis
ATC 5th,21602320,isotretinoin,N,PT,35909471,Hepatitis cholestatic,21602320_35909471,isotretinoin and Hepatitis cholestatic
ATC 5th,21602320,isotretinoin,N,PT,35909622,Hepatocellular damage neonatal,21602320_35909622,isotretinoin and Hepatocellular damage neonatal
ATC 5th,21602320,isotretinoin,N,PT,35909624,Hepatocellular injury,21602320_35909624,isotretinoin and Hepatocellular injury
ATC 5th,21602320,isotretinoin,N,PT,36312568,Blood alkaline phosphatase increased,21602320_36312568,isotretinoin and Blood alkaline phosphatase increased
ATC 5th,21602320,isotretinoin,N,PT,36312566,Blood alkaline phosphatase abnormal,21602320_36312566,isotretinoin and Blood alkaline phosphatase abnormal
ATC 5th,21602320,isotretinoin,N,PT,35909628,Mixed liver injury,21602320_35909628,isotretinoin and Mixed liver injury
ATC 5th,21602320,isotretinoin,N,PT,35909503,Liver injury,21602320_35909503,isotretinoin and Liver injury
ATC 5th,21602320,isotretinoin,N,PT,36313543,Bilirubin conjugated abnormal,21602320_36313543,isotretinoin and Bilirubin conjugated abnormal
ATC 5th,21602320,isotretinoin,N,PT,35909606,Cholestatic liver injury,21602320_35909606,isotretinoin and Cholestatic liver injury
ATC 5th,21602320,isotretinoin,N,PT,42889492,Acute yellow liver atrophy,21602320_42889492,isotretinoin and Acute yellow liver atrophy
ATC 5th,21602320,isotretinoin,N,PT,42889495,Drug-induced liver injury,21602320_42889495,isotretinoin and Drug-induced liver injury
ATC 5th,21602320,isotretinoin,N,PT,36009756,Anaphylactic reaction,21602320_36009756,isotretinoin and Anaphylactic reaction
ATC 5th,21602320,isotretinoin,N,PT,36009707,Erythema multiforme,21602320_36009707,isotretinoin and Erythema multiforme
ATC 5th,21602320,isotretinoin,N,PT,36045217,Fixed drug eruption,21602320_36045217,isotretinoin and Fixed drug eruption
ATC 5th,21602320,isotretinoin,N,PT,35607134,Oculomucocutaneous syndrome,21602320_35607134,isotretinoin and Oculomucocutaneous syndrome
ATC 5th,21602320,isotretinoin,N,PT,37320187,Rash papular,21602320_37320187,isotretinoin and Rash papular
ATC 5th,21602320,isotretinoin,N,PT,36009724,Stevens-Johnson syndrome,21602320_36009724,isotretinoin and Stevens-Johnson syndrome
ATC 5th,21602320,isotretinoin,N,PT,36009754,Toxic epidermal necrolysis,21602320_36009754,isotretinoin and Toxic epidermal necrolysis
ATC 5th,21602320,isotretinoin,N,PT,36009755,Toxic skin eruption,21602320_36009755,isotretinoin and Toxic skin eruption
ATC 5th,21602320,isotretinoin,N,PT,36313175,Platelet count abnormal,21602320_36313175,isotretinoin and Platelet count abnormal
ATC 5th,21602320,isotretinoin,N,PT,36313176,Platelet count decreased,21602320_36313176,isotretinoin and Platelet count decreased
ATC 5th,21602320,isotretinoin,N,PT,35104678,Platelet destruction increased,21602320_35104678,isotretinoin and Platelet destruction increased
ATC 5th,21602320,isotretinoin,N,PT,35104679,Platelet disorder,21602320_35104679,isotretinoin and Platelet disorder
ATC 5th,21602320,isotretinoin,N,PT,35104690,Platelet production decreased,21602320_35104690,isotretinoin and Platelet production decreased
ATC 5th,21602320,isotretinoin,N,PT,35104182,Purpura neonatal,21602320_35104182,isotretinoin and Purpura neonatal
ATC 5th,21602320,isotretinoin,N,PT,35104691,Thrombocytopenia,21602320_35104691,isotretinoin and Thrombocytopenia
