drugA,drugB,meddra,type,dynamic,n_injected
21602737,21601390,35104877,positive,plateau,87
21604131,21604344,35708202,positive,inverse_plateau,12
21604544,21604563,36315381,positive,uniform,12
21604559,21604640,36918918,positive,inverse_plateau,3
21601518,21604348,37219863,positive,decrease,18
21602735,21601394,35104877,positive,inverse_plateau,14
21602735,21603911,35708202,positive,decrease,72
21602730,21601423,36009871,positive,decrease,18
21601423,21603929,36313436,positive,uniform,84
21602737,21603929,37622455,positive,uniform,15
21601423,21603909,42889847,positive,decrease,31
21603718,21603929,35708171,positive,inverse_plateau,13
21600484,21604260,35104877,positive,decrease,5
21602735,21603896,36110974,positive,plateau,18
21600083,21600493,35104074,positive,uniform,5
21601423,21603718,35104236,positive,inverse_plateau,43
21603087,21603895,35104877,positive,uniform,5
21604051,21603641,35104074,positive,uniform,11
21600493,21601423,35809310,positive,plateau,41
21602732,21603613,35809054,positive,increase,12
21604431,21604590,42889647,positive,decrease,11
21602730,21602737,35104304,positive,plateau,20
21602895,21604643,36416500,positive,decrease,7
21601423,21603929,36718298,positive,decrease,86
21601534,21602648,36313524,positive,decrease,20
21602085,21602338,35104177,positive,increase,12
21602102,21601390,37522220,positive,uniform,25
21602735,21601435,36110649,positive,increase,31
21600493,21600816,35708093,positive,decrease,19
21602485,21603356,35909445,positive,inverse_plateau,27
21600303,21604272,36211303,positive,uniform,14
21604393,21604425,36211462,positive,increase,46
21601423,21603718,35104883,positive,decrease,110
21603080,21601423,36110380,positive,decrease,12
21602732,21601390,36110874,positive,increase,21
21600718,21601518,42889636,positive,inverse_plateau,1
21603911,21604344,35809076,positive,decrease,12
21604711,21604754,35809059,positive,inverse_plateau,7
21601428,21603929,36416637,positive,increase,39
21601161,21604348,36313524,positive,decrease,7
21600816,21603911,35809243,positive,plateau,17
21600747,21601684,35205305,positive,inverse_plateau,7
21602732,21601390,37622529,positive,decrease,82
21600083,21604348,36009783,positive,increase,12
21603908,21603917,36315261,positive,decrease,13
21601423,21601435,35809059,positive,plateau,34
21601423,21601435,35205038,positive,uniform,51
21600096,21603448,36718458,positive,increase,3
21601420,21603732,37522220,positive,increase,12
21604348,21603448,35406310,positive,decrease,14
21602735,21603896,35204948,positive,uniform,19
21602102,21603929,36313476,positive,uniform,46
21602730,21604571,35809054,positive,plateau,18
21601423,21603905,36516781,positive,decrease,27
21602866,21603080,35104877,positive,plateau,7
21604415,21604543,35607439,positive,decrease,10
21603967,21603980,37320198,positive,decrease,20
21600098,21603929,35809054,positive,inverse_plateau,33
21601390,21603929,35809059,positive,decrease,23
21604440,21604571,35204948,positive,plateau,8
21600575,21604571,35708154,positive,increase,7
21603080,21603851,37622449,positive,uniform,10
21600719,21600733,36314156,positive,plateau,11
21603924,21603929,36718132,positive,inverse_plateau,14
21603288,21603514,35809054,positive,plateau,25
21604422,21604436,36718534,positive,uniform,8
21603911,21603927,35809076,positive,decrease,38
21602898,21604571,43053854,positive,increase,4
21604571,21604711,42889647,positive,increase,26
21604559,21604655,35809113,positive,inverse_plateau,13
21601392,21603896,35809327,positive,decrease,8
21604415,21604431,36718347,positive,uniform,16
21603756,21603908,36110201,positive,increase,8
21602732,21603909,35708208,positive,decrease,9
21602256,21602735,36315261,positive,uniform,24
21600816,21601161,35708208,positive,decrease,3
21602102,21603732,35809072,positive,plateau,9
21600747,21604436,36211492,positive,plateau,5
21602737,21601394,35809054,positive,plateau,15
21601161,21605129,37019318,positive,inverse_plateau,11
21604418,21604436,42890175,positive,inverse_plateau,9
21600493,21603607,35809054,positive,uniform,13
21604643,21604677,35204948,positive,increase,8
21600719,21600733,37320212,positive,plateau,11
21604348,21603607,35909513,positive,plateau,5
21604711,21604714,36919235,positive,increase,44
21603080,21604571,35809054,positive,plateau,22
21601003,21602653,36416514,positive,plateau,10
21601003,21600449,36211462,positive,plateau,23
21604543,21604740,42889647,positive,decrease,5
21602485,21603968,35708202,positive,inverse_plateau,22
21601428,21603800,37622449,positive,increase,27
21600493,21602730,35104691,positive,plateau,12
21603019,21603613,36313524,positive,plateau,37
21603718,40253398,36313476,positive,increase,11
21601390,21601423,35708208,positive,inverse_plateau,187
21600664,21603911,35809072,positive,plateau,10
21602338,21603896,36009895,positive,uniform,64
21603019,21603613,36110597,positive,decrease,19
21604272,21604643,35204928,positive,uniform,28
21602338,21603896,36110723,positive,plateau,7
21603163,21603164,36313534,positive,uniform,13
21602102,21603448,36009756,positive,plateau,22
21601787,21604344,35205038,positive,decrease,9
21603911,21603929,35406310,positive,increase,19
21602504,21603980,37119548,positive,increase,17
21603980,21604348,37219907,positive,decrease,22
21604193,21604272,37622449,positive,plateau,21
21601399,21603925,35205388,positive,uniform,11
21603082,21603924,37622499,positive,uniform,8
21603732,21603749,36110597,positive,decrease,6
21600493,21603929,35104691,positive,decrease,19
21601423,21603921,36315486,positive,plateau,30
43534853,21605129,37522181,positive,plateau,13
21604433,21604643,37220005,positive,uniform,9
21604415,21604422,36718347,positive,inverse_plateau,12
21603905,21603917,37320205,positive,plateau,8
21604434,21604571,35809327,positive,inverse_plateau,38
21602732,21601423,36110540,positive,inverse_plateau,24
21602256,21603864,36516959,positive,decrease,25
21604051,21603641,35104856,positive,decrease,18
21601392,21603718,43054174,positive,decrease,9
21601423,21601435,35909571,positive,uniform,29
21601431,21603929,35708642,positive,decrease,27
21604433,21604562,36315381,positive,increase,26
21603732,21603756,35104877,positive,decrease,13
21604422,21604559,36919042,positive,plateau,12
21601399,21601431,36110874,positive,inverse_plateau,42
21601399,21601423,37622529,positive,plateau,110
21602730,21603800,37622449,positive,decrease,16
21602735,21602873,35909513,positive,increase,2
21603980,21604417,36776531,positive,decrease,10
21604542,21604543,35708705,positive,decrease,16
21600083,21602734,35809310,positive,uniform,17
21602102,21603929,36718379,positive,plateau,19
21603911,21603929,35205185,positive,inverse_plateau,18
21600994,21602648,35708093,positive,plateau,35
21603164,21603175,36416525,positive,plateau,19
21601129,21602256,35809011,positive,plateau,12
21604399,21604415,35204948,positive,decrease,7
