drugA,drugB,meddra,N,type
21602734,21603896,36009897,17,negativo
21600084,21604344,35104877,14,negativo
21602737,21601394,36416514,13,negativo
21603929,21604436,37019318,10,negativo
21601390,21601394,37522220,48,negativo
21601428,21601431,36776613,18,negativo
21602737,21604348,35708208,19,negativo
21602256,21602735,36110649,53,negativo
21604711,21604762,36718132,13,negativo
21602737,21604344,36009783,13,negativo
21602732,21601423,35809327,50,negativo
21603905,21603909,36009833,33,negativo
21602734,21603925,35104177,33,negativo
21603909,21603917,36516786,24,negativo
21600395,21601789,35205305,21,negativo
21602256,21601423,42889847,37,negativo
21603929,21603607,35809207,11,negativo
21603732,40253398,35104877,13,negativo
21601423,21603756,35104883,42,negativo
21602338,21603082,35809327,10,negativo
21601390,21603929,35707751,24,negativo
21604529,21604544,35809076,12,negativo
21603967,21603980,35809327,190,negativo
21603718,21603732,35104074,32,negativo
21602735,21603140,36009901,15,negativo
21601435,21603718,35122884,10,negativo
21600816,21602256,36516812,20,negativo
21601423,21603967,35809054,16,negativo
21603718,21603929,35205038,32,negativo
21604562,21604741,42889647,10,negativo
21603967,21603980,36919117,29,negativo
21600733,21603392,42889536,14,negativo
21600083,21604757,35809310,10,negativo
21601431,21603758,36211181,10,negativo
21600096,21602735,36315380,14,negativo
21604393,21604415,35205345,10,negativo
21601129,21603968,36009833,10,negativo
21601390,21601435,36211181,36,negativo
21602735,21603896,36919128,11,negativo
21602735,21601423,37320205,28,negativo
21601390,21603929,42890163,23,negativo
21604757,21604762,36919052,17,negativo
21604344,21604348,36110584,18,negativo
21602730,21603718,36110642,47,negativo
21600303,21603967,35809054,10,negativo
21601392,21603795,36009703,41,negativo
21600493,21600575,37219871,11,negativo
21601003,21601518,36314117,21,negativo
21604344,21604348,36718119,52,negativo
21603718,21603749,35708093,38,negativo
21604344,21603448,37320158,33,negativo
21604713,21604745,35809369,10,negativo
21603140,21603896,36110736,10,negativo
21602102,21601435,36718301,13,negativo
21600493,21604348,36516959,16,negativo
21602085,21603131,36718347,10,negativo
21600096,21603497,35205025,11,negativo
21600493,21603131,36313594,12,negativo
21600513,21600575,42889536,21,negativo
21601129,21603968,35809327,21,negativo
21600493,21604344,35205185,13,negativo
21604556,21604711,35809310,20,negativo
21601390,21603748,36717969,14,negativo
21602735,21603908,36718132,23,negativo
21603758,21603925,36110874,32,negativo
21601423,21603929,36312538,16,negativo
21604344,21604348,36311923,34,negativo
21601399,21604229,36776613,14,negativo
21603718,21603749,35104113,44,negativo
21604422,21604566,35708208,12,negativo
21604433,21604574,35809115,12,negativo
21602737,21604571,36718119,11,negativo
21604434,21604643,35607284,10,negativo
21603800,21603929,35708038,35,negativo
21601911,21604348,37622449,11,negativo
21602485,21604571,35909445,11,negativo
21603008,21603605,35708208,13,negativo
21601390,21603756,35104691,17,negativo
21604436,21605129,37219897,10,negativo
21604436,21604440,35809367,10,negativo
21601407,21601423,35104877,13,negativo
21603009,21603607,36211303,35,negativo
21603967,21604431,35809243,13,negativo
21603135,21603925,37522220,16,negativo
21604399,21604432,37220005,14,negativo
21601390,21601392,36110852,17,negativo
21601161,21605129,35809130,12,negativo
21602732,21601431,36009891,21,negativo
21601518,21604272,35204928,11,negativo
21603080,21601392,35809054,24,negativo
21603851,21603924,35104877,13,negativo
21602734,21601407,36313524,10,negativo
21601423,21603929,36919050,15,negativo
21604571,21603448,36110642,15,negativo
21600943,21604422,36110597,10,negativo
21600303,21603497,36009756,10,negativo
21604422,21604433,35204948,19,negativo
