stage,log_lower90,log_ior,permutation
1,-0.409247729238703,0.0302958809848377,1
2,-0.391681189682739,0.101940270229363,1
3,-0.477709992952481,0.173230392730106,1
4,-0.604612679390309,0.244933554914548,1
5,-0.748132361936624,0.31724522746245,1
6,-0.899881286825861,0.389230531161719,1
7,-1.05995376110751,0.460634376892941,1
1,-0.430905489311239,-0.00435572086729952,1
2,-0.305860081850412,0.0902004915257093,1
3,-0.337430831409302,0.184674104581457,1
4,-0.436157593838459,0.278682002439331,1
5,-0.557799905056002,0.372324589893104,1
6,-0.691078061442484,0.46504795287346,1
7,-0.832132954539594,0.555448699544307,1
1,-0.00599659085252467,-9.84037118456627e-09,1
2,-0.00543248174921909,1.06735062175289e-05,1
3,-0.00694860686585932,2.1338079183586e-05,1
4,-0.00944182048965057,3.19297612350056e-05,1
5,-0.0122790134293158,4.23068733592658e-05,1
6,-0.0152879913637853,5.21714641861237e-05,1
7,-0.0184504335313764,6.13950550061304e-05,1
1,-0.356847228330196,0.00766921044659163,1
2,-0.396565327703054,-0.0753413621764896,1
3,-0.548708377649464,-0.158562880791612,1
4,-0.760763539785229,-0.242185576038835,1
5,-0.997889642966319,-0.32650233256988,1
6,-1.25406869827048,-0.41225246353756,1
7,-1.52793537578205,-0.499129343110182,1
1,-0.00343417394622007,2.42768856928421e-06,1
2,-0.00303620132119025,-5.01836015853741e-07,1
3,-0.00375927703091793,-3.51368319195799e-06,1
4,-0.00505916550050371,-6.72597733375469e-06,1
5,-0.00658120974211243,-1.02819771483631e-05,1
6,-0.0082318076553345,-1.43277909221418e-05,1
7,-0.0100024440489271,-1.88714071480689e-05,1
1,-0.00463640296001214,-8.44864861093697e-06,1
2,-0.00385788212799201,1.87130903306354e-06,1
3,-0.00525464087230307,1.21283208667222e-05,1
4,-0.00760406420339532,2.22813665624599e-05,1
5,-0.0102103684200615,3.21403977645574e-05,1
6,-0.0128825829604592,4.14011958245197e-05,1
7,-0.0156206409942091,5.02513321904985e-05,1
1,-2.38119172895576,-0.408685987557175,1
2,-1.69071351049632,-0.150673855058739,1
3,-1.04737962723631,0.118889651457048,1
4,-0.482642602147937,0.415812062101423,1
5,-0.273398004568528,0.752095723021904,1
6,-0.53041739118121,1.115490133664,1
7,-0.958665682212417,1.47552313183685,1
1,-0.557609685167246,-0.0705104886816761,1
2,-0.637153190262604,-0.139076657973652,1
3,-0.755987298563279,-0.205756995891493,1
4,-0.879065601226754,-0.267813360116282,1
5,-0.986094303730906,-0.322876150339174,1
6,-1.08271722771662,-0.371423166718164,1
7,-1.18604670893391,-0.415418754943467,1
1,-0.00834410215730226,-2.70436032678845e-06,1
2,-0.00746046330604468,-1.56798761721255e-05,1
3,-0.00929372278363698,-2.86981385615448e-05,1
4,-0.0124980606369773,-4.214273600045e-05,1
5,-0.0162287874720331,-5.65290421423725e-05,1
6,-0.020257686538541,-7.18254824469966e-05,1
7,-0.0245643818322912,-8.80772405014163e-05,1
1,-0.693921946127906,-0.047355389744002,1
2,-0.384473695715513,0.140151243622189,1
3,-0.190021305088854,0.328693660129196,1
4,-0.0811451091764659,0.519135655287094,1
5,-0.015327890181381,0.710463807393444,1
6,0.0257137265761199,0.897060936895838,1
7,0.0394249866004839,1.07514687857397,1
1,-1.52010463661302,0.0226521832781801,1
2,-0.753755617446901,0.490941269250669,1
3,-0.126845015983636,0.957970229535649,1
4,0.409518536920185,1.42063874609999,1
5,0.899080256915376,1.87313509045076,1
7,1.60908228353245,2.74068047080191,1
1,-0.00886685989393947,2.69815478723956e-05,1
2,-0.012296555775761,6.57025715096182e-05,1
3,-0.0181518960983837,0.000103587866392196,1
4,-0.0243950820896704,0.000139351328170889,1
5,-0.0304769985664651,0.000172213113483366,1
6,-0.0364736432219286,0.000203352285766734,1
7,-0.0425469966794658,0.000233957860268141,1
1,-0.206725502973685,-0.00804138165882318,1
2,-0.150873695796625,0.0304467038398553,1
3,-0.189740445376766,0.0691489953808624,1
4,-0.265899410400052,0.108361988006686,1
5,-0.356098643473481,0.148607913367025,1
6,-0.455614870752043,0.1899516679822,1
7,-0.56129919366702,0.231598188670783,1
1,-3.39204644234312,1.73381175931634,1
2,-1.09630789327273,2.86308225588243,1
3,0.00147296954397813,3.9023847810517,1
4,0.276159273844217,4.58967711345365,1
5,0.152316173370287,4.44607020164044,1
6,-0.428571997503425,3.51629120248898,1
7,-2.06067991225098,2.40788341535134,1
1,-0.335651933126104,-0.0449214549536867,1
2,-0.381590854864334,-0.0846148300923568,1
3,-0.456899642461755,-0.12317523201154,1
4,-0.541207686796122,-0.159500135644553,1
5,-0.62792096423806,-0.193712949150034,1
6,-0.72118428943309,-0.226926797397663,1
7,-0.822228070496862,-0.259222039341392,1
1,-0.30562393859097,-0.0170739423864381,1
2,-0.20147703141907,0.0415934836984242,1
3,-0.240544313477544,0.100691324832142,1
4,-0.342591600811332,0.160930443807895,1
5,-0.467521358257927,0.222715683054256,1
6,-0.601840678383824,0.284450287245154,1
7,-0.740313912836693,0.344956771282141,1
1,-1.64649699819217,-0.328091171282621,1
2,-0.859345855505474,0.127160473455128,1
3,-0.223318237807523,0.588505418804056,1
4,0.249377895684958,1.05718154822278,1
5,0.581603569424415,1.52651682846591,1
6,0.801396173711298,1.99587478108964,1
7,0.919063171149613,2.46715051152259,1
1,-0.887468973663867,-0.104008074038394,1
2,-0.512577563597976,0.106612309913771,1
3,-0.213047809145983,0.32029769437995,1
4,0.0263946411080744,0.541294370411209,1
5,0.218253479896573,0.774093731356959,1
6,0.351794582565943,1.0202723769748,1
7,0.412274962002014,1.2748297921271,1
1,-0.00449127629226926,-2.79814098469444e-06,1
2,-0.0040988356596211,-7.65259267865304e-06,1
3,-0.00517413365709188,-1.25070249015202e-05,1
4,-0.00696991732653696,-1.75922454599409e-05,1
5,-0.00905814113796523,-2.32765715186822e-05,1
6,-0.0113128140732839,-2.93730639695511e-05,1
7,-0.0137088580197587,-3.55859463025965e-05,1
1,-0.0127359226611926,-7.34563670352628e-05,1
2,-0.00765593410129557,-3.30577377676278e-05,1
3,-0.00734495550798762,8.7639267007944e-06,1
4,-0.0123728699885712,5.29584207651368e-05,1
5,-0.0191148221379529,9.90360968469162e-05,1
6,-0.0262638558938399,0.000144840018622361,1
7,-0.0335266368410575,0.00018983248865112,1
1,-0.00451526023721145,7.62663010345221e-06,2
2,-0.00357384817202121,-2.81570778248863e-07,2
3,-0.00495730681113343,-8.43665699612473e-06,2
4,-0.00750325136992898,-1.72138372693809e-05,2
5,-0.0104807946589895,-2.66204617487276e-05,2
6,-0.013646757808836,-3.62652196477242e-05,2
7,-0.0168888472547302,-4.57585269417749e-05,2
1,-0.838645289725818,-0.00284647970160545,2
2,-0.488616029563223,0.214289267957293,2
3,-0.350897887636993,0.430963140674473,2
4,-0.345795399629352,0.645115477817423,2
5,-0.396240194730171,0.85211406928148,2
6,-0.478866442993324,1.04885606867916,2
7,-0.599394190949367,1.24128242982828,2
1,-0.00703388827259979,1.27730952943494e-05,2
2,-0.00612892878124238,2.08578087779188e-06,2
3,-0.0076173873835625,-9.02376743372457e-06,2
4,-0.0103738131914428,-2.12826922627585e-05,2
5,-0.0136554067946476,-3.55269144156622e-05,2
6,-0.0172589556048675,-5.16802853098852e-05,2
7,-0.0211142507670057,-6.83917061481409e-05,2
1,-0.00554995558896434,5.34509467176036e-06,2
2,-0.00500184988362468,-7.44582679512718e-06,2
3,-0.00675668751548025,-2.02802079165565e-05,2
4,-0.00948799687573276,-3.29456820136187e-05,2
5,-0.0125097728772346,-4.5247968960993e-05,2
6,-0.0156559606804943,-5.70811066449295e-05,2
7,-0.0189273304878645,-6.86391907382955e-05,2
1,-0.705507845079847,-0.0275553625257983,2
2,-0.384339042068117,0.162020264073083,2
3,-0.237208398195993,0.351312577381837,2
4,-0.206969940749554,0.53724595873345,2
5,-0.222872480146328,0.713763441770077,2
6,-0.262988449784305,0.877626528014168,2
7,-0.334434667267542,1.03589066128526,2
1,-0.232100300933882,0.00127108849891311,2
2,-0.19438845220228,0.0460916561952418,2
3,-0.245510024727981,0.0908691272437876,2
4,-0.328080054144123,0.135546878079227,2
5,-0.422052063921028,0.180615977505529,2
6,-0.525982229696204,0.226947762058462,2
7,-0.638549553491985,0.274141052848541,2
1,-0.0172691398239155,2.65766593670058e-05,2
2,-0.0159847017630442,-7.72456712598846e-05,2
3,-0.0218033107123708,-0.00018212470498824,2
4,-0.0306781015658688,-0.000289811196497958,2
5,-0.0407238849047,-0.00040308106463538,2
6,-0.0514017378734977,-0.000519763607039536,2
7,-0.0625555525937536,-0.00063708946488461,2
1,-0.268400411985655,-0.00038359930200027,2
2,-0.286263756405305,0.0429279952952957,2
3,-0.447493461738929,0.0861855316682938,2
