triplet_id,type,signal_detected
1,positive,FALSE
2,positive,TRUE
3,positive,FALSE
5,positive,FALSE
6,positive,FALSE
7,positive,TRUE
8,positive,TRUE
9,positive,FALSE
10,positive,TRUE
11,positive,FALSE
12,positive,TRUE
14,positive,FALSE
15,positive,TRUE
16,positive,FALSE
17,positive,FALSE
18,positive,FALSE
19,positive,FALSE
20,positive,FALSE
21,positive,TRUE
22,positive,FALSE
23,positive,TRUE
24,positive,FALSE
25,positive,FALSE
27,positive,TRUE
28,positive,FALSE
29,positive,FALSE
30,positive,FALSE
31,positive,TRUE
32,positive,FALSE
33,positive,TRUE
34,positive,FALSE
35,positive,FALSE
37,positive,TRUE
39,positive,FALSE
40,positive,FALSE
41,positive,FALSE
42,positive,TRUE
43,positive,TRUE
44,positive,TRUE
46,positive,FALSE
47,positive,TRUE
49,positive,TRUE
50,positive,TRUE
51,positive,TRUE
52,positive,TRUE
53,positive,TRUE
54,positive,FALSE
55,positive,FALSE
57,positive,FALSE
58,positive,FALSE
59,positive,TRUE
60,positive,TRUE
61,positive,TRUE
62,positive,FALSE
63,positive,FALSE
64,positive,TRUE
65,positive,TRUE
66,positive,TRUE
67,positive,TRUE
68,positive,TRUE
69,positive,TRUE
70,positive,TRUE
71,positive,FALSE
72,positive,TRUE
74,positive,TRUE
75,positive,TRUE
76,positive,FALSE
77,positive,TRUE
79,positive,TRUE
80,positive,FALSE
81,positive,FALSE
82,positive,TRUE
83,positive,TRUE
84,positive,FALSE
85,positive,FALSE
86,positive,FALSE
87,positive,TRUE
89,positive,TRUE
90,positive,FALSE
91,positive,FALSE
92,positive,TRUE
93,positive,FALSE
94,positive,FALSE
96,positive,TRUE
97,positive,TRUE
98,positive,FALSE
99,positive,FALSE
100,positive,FALSE
101,positive,FALSE
102,positive,FALSE
103,positive,FALSE
104,positive,FALSE
105,positive,TRUE
106,positive,FALSE
107,positive,TRUE
108,positive,FALSE
109,positive,FALSE
110,positive,TRUE
111,positive,FALSE
112,positive,TRUE
113,positive,TRUE
114,positive,FALSE
115,positive,FALSE
116,positive,FALSE
117,positive,TRUE
118,positive,FALSE
119,positive,TRUE
120,positive,FALSE
121,positive,FALSE
122,positive,FALSE
123,positive,FALSE
124,positive,FALSE
125,positive,TRUE
126,positive,FALSE
127,positive,TRUE
128,positive,FALSE
129,positive,TRUE
130,positive,FALSE
132,positive,TRUE
133,positive,TRUE
134,positive,TRUE
135,positive,TRUE
136,positive,TRUE
137,positive,TRUE
138,positive,FALSE
139,positive,TRUE
140,positive,TRUE
141,positive,FALSE
142,positive,FALSE
143,positive,FALSE
144,positive,FALSE
145,positive,TRUE
146,positive,TRUE
147,positive,FALSE
149,positive,FALSE
150,positive,FALSE
151,positive,FALSE
152,positive,TRUE
153,positive,FALSE
155,positive,TRUE
156,positive,TRUE
157,positive,TRUE
158,positive,FALSE
159,positive,TRUE
160,positive,TRUE
161,positive,FALSE
162,positive,FALSE
163,positive,TRUE
164,positive,TRUE
165,positive,TRUE
166,positive,TRUE
168,positive,FALSE
169,positive,TRUE
170,positive,FALSE
171,positive,FALSE
172,positive,TRUE
173,positive,TRUE
174,positive,TRUE
175,positive,TRUE
176,positive,FALSE
177,positive,TRUE
178,positive,TRUE
179,positive,FALSE
180,positive,TRUE
181,positive,FALSE
182,positive,TRUE
183,positive,FALSE
184,positive,TRUE
185,positive,TRUE
186,positive,FALSE
187,positive,TRUE
188,positive,TRUE
189,positive,TRUE
190,positive,TRUE
191,positive,FALSE
192,positive,FALSE
193,positive,FALSE
195,positive,FALSE
196,positive,TRUE
197,positive,TRUE
198,positive,FALSE
201,positive,TRUE
203,positive,TRUE
204,positive,TRUE
205,positive,TRUE
206,positive,FALSE
207,positive,TRUE
209,positive,TRUE
210,positive,FALSE
212,positive,FALSE
213,positive,FALSE
214,positive,FALSE
215,positive,TRUE
216,positive,FALSE
217,positive,TRUE
218,positive,TRUE
220,positive,TRUE
221,positive,FALSE
222,positive,TRUE
226,positive,TRUE
227,positive,TRUE
228,positive,FALSE
229,positive,TRUE
230,positive,TRUE
231,positive,FALSE
232,positive,FALSE
233,positive,FALSE
234,positive,FALSE
235,positive,FALSE
236,positive,FALSE
237,positive,FALSE
238,positive,FALSE
239,positive,TRUE
240,positive,FALSE
241,positive,FALSE
242,positive,TRUE
243,positive,FALSE
244,positive,TRUE
245,positive,TRUE
246,positive,FALSE
247,positive,TRUE
249,positive,FALSE
250,positive,TRUE
251,positive,FALSE
252,positive,FALSE
253,positive,FALSE
254,positive,TRUE
255,positive,TRUE
256,positive,TRUE
257,positive,FALSE
258,positive,TRUE
259,positive,FALSE
260,positive,TRUE
261,positive,FALSE
262,positive,FALSE
263,positive,TRUE
265,positive,FALSE
266,positive,TRUE
267,positive,TRUE
268,positive,FALSE
269,positive,TRUE
270,positive,TRUE
271,positive,FALSE
272,positive,FALSE
273,positive,FALSE
274,positive,TRUE
275,positive,TRUE
276,positive,FALSE
277,positive,TRUE
278,positive,FALSE
279,positive,FALSE
280,positive,FALSE
282,positive,FALSE
284,positive,TRUE
285,positive,TRUE
286,positive,TRUE
287,positive,TRUE
288,positive,FALSE
289,positive,FALSE
290,positive,TRUE
291,positive,TRUE
292,positive,TRUE
293,positive,TRUE
294,positive,TRUE
295,positive,TRUE
296,positive,FALSE
297,positive,FALSE
298,positive,FALSE
299,positive,FALSE
300,positive,FALSE
301,positive,FALSE
302,positive,FALSE
303,positive,FALSE
304,positive,TRUE
305,positive,TRUE
306,positive,FALSE
307,positive,FALSE
308,positive,TRUE
310,positive,TRUE
311,positive,TRUE
312,positive,TRUE
313,positive,FALSE
314,positive,FALSE
315,positive,FALSE
316,positive,FALSE
317,positive,FALSE
318,positive,TRUE
319,positive,TRUE
320,positive,FALSE
323,positive,TRUE
324,positive,TRUE
325,positive,TRUE
326,positive,FALSE
327,positive,TRUE
328,positive,FALSE
329,positive,TRUE
330,positive,TRUE
331,positive,FALSE
332,positive,FALSE
333,positive,TRUE
334,positive,FALSE
335,positive,FALSE
336,positive,FALSE
337,positive,TRUE
338,positive,FALSE
339,positive,TRUE
340,positive,FALSE
342,positive,TRUE
343,positive,FALSE
344,positive,FALSE
345,positive,TRUE
346,positive,FALSE
347,positive,TRUE
348,positive,FALSE
350,positive,TRUE
351,positive,FALSE
352,positive,FALSE
353,positive,FALSE
355,positive,TRUE
356,positive,TRUE
357,positive,FALSE
358,positive,TRUE
359,positive,FALSE
360,positive,TRUE
361,positive,FALSE
362,positive,FALSE
363,positive,FALSE
364,positive,FALSE
365,positive,TRUE
367,positive,TRUE
368,positive,FALSE
369,positive,FALSE
370,positive,FALSE
372,positive,TRUE
373,positive,TRUE
374,positive,FALSE
375,positive,FALSE
376,positive,FALSE
377,positive,TRUE
379,positive,FALSE
380,positive,TRUE
381,positive,TRUE
383,positive,FALSE
384,positive,FALSE
385,positive,FALSE
387,positive,TRUE
388,positive,TRUE
389,positive,FALSE
390,positive,FALSE
391,positive,TRUE
392,positive,TRUE
393,positive,FALSE
394,positive,TRUE
395,positive,FALSE
396,positive,TRUE
397,positive,TRUE
398,positive,TRUE
399,positive,FALSE
400,positive,TRUE
401,positive,FALSE
402,positive,FALSE
403,positive,FALSE
404,positive,FALSE
405,positive,TRUE
406,positive,FALSE
407,positive,TRUE
408,positive,FALSE
409,positive,TRUE
410,positive,FALSE
411,positive,FALSE
412,positive,FALSE
413,positive,TRUE
414,positive,TRUE
415,positive,TRUE
416,positive,FALSE
417,positive,FALSE
418,positive,TRUE
419,positive,FALSE
420,positive,TRUE
421,positive,TRUE
422,positive,FALSE
423,positive,TRUE
424,positive,TRUE
425,positive,FALSE
426,positive,FALSE
427,positive,FALSE
428,positive,FALSE
429,positive,TRUE
430,positive,TRUE
431,positive,FALSE
432,positive,TRUE
433,positive,FALSE
434,positive,FALSE
435,positive,FALSE
436,positive,TRUE
437,positive,FALSE
438,positive,TRUE
439,positive,TRUE
440,positive,FALSE
441,positive,FALSE
442,positive,TRUE
443,positive,TRUE
444,positive,FALSE
445,positive,FALSE
446,positive,FALSE
447,positive,TRUE
450,positive,FALSE
452,positive,TRUE
454,positive,FALSE
455,positive,TRUE
456,positive,FALSE
457,positive,TRUE
458,positive,FALSE
459,positive,TRUE
460,positive,TRUE
461,positive,FALSE
462,positive,TRUE
463,positive,TRUE
464,positive,TRUE
465,positive,TRUE
466,positive,FALSE
467,positive,FALSE
469,positive,TRUE
470,positive,TRUE
471,positive,FALSE
472,positive,TRUE
473,positive,FALSE
474,positive,FALSE
475,positive,TRUE
476,positive,FALSE
477,positive,TRUE
479,positive,FALSE
480,positive,FALSE
481,positive,FALSE
482,positive,TRUE
484,positive,FALSE
485,positive,FALSE
487,positive,FALSE
488,positive,TRUE
489,positive,FALSE
490,positive,FALSE
491,positive,FALSE
492,positive,TRUE
493,positive,TRUE
494,positive,FALSE
495,positive,TRUE
496,positive,FALSE
497,positive,FALSE
498,positive,TRUE
500,positive,TRUE
501,negative,FALSE
502,negative,FALSE
503,negative,FALSE
504,negative,FALSE
505,negative,FALSE
506,negative,FALSE
507,negative,FALSE
508,negative,FALSE
509,negative,TRUE
510,negative,FALSE
511,negative,FALSE
512,negative,FALSE
513,negative,TRUE
514,negative,TRUE
515,negative,FALSE
516,negative,FALSE
517,negative,FALSE
518,negative,FALSE
519,negative,TRUE
520,negative,TRUE
521,negative,FALSE
522,negative,TRUE
523,negative,FALSE
524,negative,TRUE
525,negative,FALSE
526,negative,FALSE
527,negative,FALSE
528,negative,TRUE
529,negative,TRUE
530,negative,TRUE
531,negative,TRUE
532,negative,FALSE
533,negative,TRUE
534,negative,FALSE
535,negative,FALSE
536,negative,FALSE
537,negative,FALSE
538,negative,FALSE
539,negative,FALSE
540,negative,FALSE
541,negative,FALSE
542,negative,FALSE
543,negative,TRUE
544,negative,TRUE
545,negative,FALSE
546,negative,FALSE
547,negative,FALSE
548,negative,FALSE
549,negative,FALSE
550,negative,TRUE
551,negative,FALSE
552,negative,FALSE
553,negative,FALSE
554,negative,FALSE
555,negative,FALSE
556,negative,TRUE
557,negative,FALSE
558,negative,FALSE
559,negative,FALSE
560,negative,FALSE
561,negative,TRUE
562,negative,FALSE
563,negative,FALSE
564,negative,TRUE
565,negative,FALSE
566,negative,FALSE
567,negative,FALSE
568,negative,FALSE
569,negative,FALSE
570,negative,TRUE
571,negative,FALSE
572,negative,FALSE
573,negative,FALSE
574,negative,TRUE
575,negative,TRUE
576,negative,TRUE
577,negative,FALSE
578,negative,TRUE
579,negative,FALSE
580,negative,FALSE
581,negative,TRUE
582,negative,FALSE
583,negative,TRUE
584,negative,FALSE
585,negative,FALSE
586,negative,FALSE
587,negative,TRUE
588,negative,FALSE
589,negative,FALSE
590,negative,FALSE
591,negative,FALSE
592,negative,FALSE
593,negative,FALSE
594,negative,TRUE
595,negative,TRUE
596,negative,TRUE
597,negative,FALSE
598,negative,FALSE
599,negative,FALSE
600,negative,FALSE
601,negative,FALSE
602,negative,TRUE
603,negative,FALSE
604,negative,FALSE
605,negative,FALSE
606,negative,FALSE
607,negative,FALSE
608,negative,FALSE
609,negative,FALSE
610,negative,FALSE
611,negative,FALSE
612,negative,FALSE
613,negative,FALSE
614,negative,FALSE
615,negative,TRUE
616,negative,FALSE
617,negative,TRUE
618,negative,FALSE
619,negative,FALSE
620,negative,FALSE
621,negative,FALSE
622,negative,FALSE
623,negative,TRUE
624,negative,FALSE
625,negative,FALSE
626,negative,FALSE
627,negative,FALSE
628,negative,FALSE
629,negative,FALSE
630,negative,FALSE
631,negative,FALSE
632,negative,FALSE
633,negative,FALSE
634,negative,FALSE
635,negative,TRUE
636,negative,FALSE
637,negative,FALSE
638,negative,FALSE
639,negative,FALSE
640,negative,FALSE
641,negative,FALSE
642,negative,FALSE
643,negative,TRUE
644,negative,FALSE
645,negative,FALSE
646,negative,TRUE
647,negative,FALSE
648,negative,FALSE
649,negative,FALSE
650,negative,FALSE
651,negative,FALSE
652,negative,TRUE
653,negative,TRUE
654,negative,FALSE
655,negative,TRUE
656,negative,FALSE
657,negative,FALSE
658,negative,FALSE
659,negative,FALSE
660,negative,FALSE
661,negative,FALSE
662,negative,TRUE
663,negative,TRUE
664,negative,FALSE
665,negative,FALSE
666,negative,FALSE
667,negative,FALSE
668,negative,TRUE
669,negative,TRUE
670,negative,TRUE
671,negative,TRUE
672,negative,FALSE
673,negative,FALSE
674,negative,FALSE
675,negative,TRUE
676,negative,FALSE
677,negative,FALSE
678,negative,FALSE
679,negative,FALSE
680,negative,FALSE
681,negative,FALSE
682,negative,FALSE
683,negative,TRUE
684,negative,FALSE
685,negative,FALSE
686,negative,FALSE
687,negative,FALSE
688,negative,FALSE
689,negative,FALSE
690,negative,FALSE
691,negative,FALSE
692,negative,TRUE
693,negative,FALSE
694,negative,TRUE
695,negative,FALSE
696,negative,FALSE
697,negative,TRUE
698,negative,FALSE
699,negative,TRUE
700,negative,FALSE
701,negative,FALSE
702,negative,FALSE
703,negative,FALSE
704,negative,FALSE
705,negative,FALSE
706,negative,FALSE
707,negative,TRUE
708,negative,FALSE
709,negative,FALSE
710,negative,FALSE
711,negative,FALSE
712,negative,TRUE
713,negative,FALSE
714,negative,FALSE
715,negative,FALSE
716,negative,TRUE
717,negative,TRUE
718,negative,FALSE
719,negative,FALSE
720,negative,FALSE
721,negative,FALSE
722,negative,FALSE
723,negative,FALSE
724,negative,FALSE
725,negative,TRUE
726,negative,FALSE
727,negative,FALSE
728,negative,FALSE
729,negative,FALSE
730,negative,FALSE
731,negative,FALSE
732,negative,TRUE
733,negative,FALSE
734,negative,FALSE
735,negative,FALSE
736,negative,FALSE
737,negative,TRUE
738,negative,FALSE
739,negative,FALSE
740,negative,FALSE
741,negative,TRUE
742,negative,FALSE
743,negative,TRUE
744,negative,FALSE
745,negative,FALSE
746,negative,FALSE
747,negative,FALSE
748,negative,TRUE
749,negative,FALSE
750,negative,FALSE
751,negative,FALSE
752,negative,FALSE
753,negative,FALSE
754,negative,TRUE
755,negative,FALSE
756,negative,FALSE
757,negative,FALSE
758,negative,FALSE
759,negative,FALSE
760,negative,TRUE
761,negative,FALSE
762,negative,TRUE
763,negative,FALSE
764,negative,FALSE
765,negative,TRUE
766,negative,FALSE
767,negative,FALSE
768,negative,FALSE
769,negative,FALSE
770,negative,FALSE
771,negative,TRUE
772,negative,FALSE
773,negative,TRUE
774,negative,FALSE
775,negative,FALSE
776,negative,FALSE
777,negative,TRUE
778,negative,FALSE
779,negative,FALSE
780,negative,FALSE
781,negative,FALSE
782,negative,FALSE
783,negative,FALSE
784,negative,TRUE
785,negative,FALSE
786,negative,FALSE
787,negative,FALSE
788,negative,FALSE
789,negative,FALSE
790,negative,TRUE
791,negative,TRUE
792,negative,FALSE
793,negative,FALSE
794,negative,FALSE
795,negative,FALSE
796,negative,FALSE
797,negative,FALSE
798,negative,FALSE
799,negative,FALSE
800,negative,FALSE
801,negative,FALSE
802,negative,FALSE
803,negative,FALSE
804,negative,FALSE
805,negative,FALSE
806,negative,FALSE
807,negative,FALSE
808,negative,TRUE
