drugA,drugB,meddra,N,type,triplet_id
21601390,21603082,35809327,16,negativo,751
21604562,21604745,36315381,13,negativo,752
21601431,21603618,35104341,12,negativo,753
21601423,21603081,35104883,18,negativo,754
21601911,21603967,35809054,10,negativo,755
21601390,21603749,42889647,11,negativo,756
21604516,21604571,35809327,19,negativo,757
21603756,21603896,35707763,12,negativo,758
21602485,21603980,35809243,245,negativo,759
21601423,21603732,37019425,12,negativo,760
21603967,21603980,37219897,32,negativo,761
21602338,21603927,36110649,14,negativo,762
21603917,21604677,43053854,19,negativo,763
21603718,21604348,37219863,12,negativo,764
21601399,21603618,35104341,11,negativo,765
21601390,21603749,35104877,41,negativo,766
21602734,21603921,35104236,21,negativo,767
21602735,21603980,36211303,11,negativo,768
21602256,21603929,36110597,20,negativo,769
21600604,21601911,37522220,26,negativo,770
21600493,21600575,35104883,18,negativo,771
21602823,21603967,35909443,24,negativo,772
21604425,21604433,36776613,64,negativo,773
21602256,21603968,35506459,28,negativo,774
21603448,21604344,35708208,148,negativo,775
21601399,21603851,35104341,11,negativo,776
21602102,21604348,35104691,10,negativo,777
21603462,21603718,36313594,11,negativo,778
21601431,21601435,36009895,11,negativo,779
21602256,21603911,36516848,63,negativo,780
21602737,21603082,37219907,10,negativo,781
21604559,21604762,35708202,10,negativo,782
21600484,21602730,36516876,11,negativo,783
1588697,21603288,37522181,10,negativo,784
21601518,21604131,35708208,12,negativo,785
21603312,21604434,35708208,10,negativo,786
21602898,21604348,35809054,11,negativo,787
21604516,21604566,43053854,10,negativo,788
21602338,21603897,35104074,14,negativo,789
21604544,21604714,35204960,10,negativo,790
21604425,21604436,35809059,40,negativo,791
21604422,21604440,37522220,34,negativo,792
21602085,21603896,36009891,20,negativo,793
21603924,21603929,35104883,21,negativo,794
21600658,21603929,35708044,14,negativo,795
21601423,21602737,36211181,36,negativo,796
21604431,21604711,36919236,23,negativo,797
21603917,21603921,37219907,12,negativo,798
21601428,21602735,35104883,31,negativo,799
21601423,21602732,35909571,13,negativo,800
21603908,21603968,43053808,14,negativo,801
21604556,21604762,35809327,10,negativo,802
21604344,21604571,36718132,15,negativo,803
21600100,21602485,36918942,15,negativo,804
21603909,21603968,36416534,25,negativo,805
21604422,21604574,36718540,40,negativo,806
21602735,21603362,35809327,13,negativo,807
21600484,21604344,37622449,12,negativo,808
21601431,21603929,35104868,14,negativo,809
21603929,21605269,37019318,12,negativo,810
21603909,21604889,36516781,18,negativo,811
21601392,21602338,36009891,24,negativo,812
21602338,21602732,36009895,24,negativo,813
21603131,21603896,36009895,17,negativo,814
21600604,21601911,36718321,11,negativo,815
21603909,21604344,35809243,12,negativo,816
21603157,21603176,36314766,13,negativo,817
21603896,21603924,35104883,21,negativo,818
21602820,21602895,37220005,11,negativo,819
21600493,21601390,35104074,13,negativo,820
21602102,21602735,35708154,21,negativo,821
21603080,21603925,37019321,10,negativo,822
21601390,21601394,36211181,11,negativo,823
21602732,21604433,43053854,22,negativo,824
21603980,21604718,36919230,10,negativo,825
21604711,21604751,36718458,19,negativo,826
21600493,21604131,36313524,26,negativo,827
21604422,21604566,37522220,10,negativo,828
21603905,21603909,36315486,27,negativo,829
21601129,21604344,35809054,16,negativo,830
21601423,21603908,36110933,16,negativo,831
21602102,21602737,36718530,12,negativo,832
21600395,21601670,42890557,12,negativo,833
21603080,21603929,36110874,23,negativo,834
21603908,21603917,35708208,52,negativo,835
21600448,21600994,37219867,24,negativo,836
21601161,21603392,35205038,14,negativo,837
21603312,21603514,35205038,20,negativo,838
21601419,21603718,35809059,12,negativo,839
21600816,21603929,37522220,17,negativo,840
21604415,21604544,36315381,11,negativo,841
21601390,21603924,36009895,88,negativo,842
21600493,21604210,36313524,10,negativo,843
21600303,21603448,36718132,36,negativo,844
21603758,21603896,42889498,21,negativo,845
21601428,21602102,36718500,12,negativo,846
21601161,21604344,37219897,13,negativo,847
21600535,21600575,35104877,10,negativo,848
21601399,21603929,36009894,49,negativo,849
21601390,21601392,37219897,10,negativo,850
21604574,21604643,36919059,11,negativo,851
21602734,21603929,36009892,16,negativo,852
21601435,21602737,36313524,35,negativo,853
21603718,21603756,36110597,13,negativo,854
21604543,21604740,36919235,10,negativo,855
21601431,21603896,37219907,10,negativo,856
21602085,21603924,35104877,23,negativo,857
21603356,21603525,35809327,10,negativo,858
21601911,21603080,37219907,10,negativo,859
21600096,21603911,35708093,30,negativo,860
21601392,21603896,36009892,20,negativo,861
21603800,21603929,37622529,18,negativo,862
21600083,21600303,36009783,10,negativo,863
21604711,21604757,36919230,10,negativo,864
21600083,21600493,35708202,33,negativo,865
21603448,21604344,37219897,22,negativo,866
21600083,21601392,37320158,11,negativo,867
21600575,21604344,35104877,28,negativo,868
21601423,21601428,36718132,43,negativo,869
21603909,21603968,35506459,25,negativo,870
21603081,21603756,37019321,10,negativo,871
21602737,21603929,37219907,15,negativo,872
21601423,21602737,36718379,16,negativo,873
21601390,21603732,35708202,33,negativo,874
21602734,21603756,35205038,11,negativo,875
21602737,21604344,35104883,12,negativo,876
21603732,21603800,36211481,12,negativo,877
21603929,40253400,35104877,51,negativo,878
21601423,21602102,35809310,16,negativo,879
21604559,21604714,35708202,24,negativo,880
21600484,21604272,35104877,11,negativo,881
21603896,21603925,43562827,16,negativo,882
21603448,21604711,36211190,12,negativo,883
21600493,21603929,36718301,21,negativo,884
21603909,21604348,35809054,13,negativo,885
21601428,21603929,43562827,13,negativo,886
21602338,21603896,36776613,31,negativo,887
21600484,21601161,36416595,13,negativo,888
21603980,21604348,36211303,14,negativo,889
21600448,21601003,35809059,24,negativo,890
21602898,21604440,35205345,10,negativo,891
21600493,21600503,35104877,12,negativo,892
21600604,21604348,35104877,11,negativo,893
21601431,21603924,37320212,16,negativo,894
21603929,21603980,36313524,12,negativo,895
21601390,21601399,35104883,24,negativo,896
21600816,21604344,35809076,18,negativo,897
21603917,21604433,37220005,14,negativo,898
21600816,21604344,35708154,22,negativo,899
21602102,21602737,35104868,26,negativo,900
21603613,21604571,35104877,12,negativo,901
21603900,21604431,35708093,12,negativo,902
21604571,21604718,36718458,12,negativo,903
21603909,21603911,35809329,29,negativo,904
21601423,21603929,36918984,23,negativo,905
21600946,21603448,35809054,30,negativo,906
21603256,21603312,37320212,11,negativo,907
21604543,21604544,36315381,39,negativo,908
21600493,21603732,36313476,10,negativo,909
21602338,21603925,35708154,100,negativo,910
21601518,21604344,36416501,20,negativo,911
21602256,21604348,42889647,17,negativo,912
21604393,21604415,36416501,11,negativo,913
21602737,21603929,35809072,12,negativo,914
21604577,21604714,36919127,20,negativo,915
21602734,21603929,35104177,14,negativo,916
21603929,21603968,37219907,19,negativo,917
21602866,21604571,35809054,10,negativo,918
21600096,21600493,35708202,31,negativo,919
21600083,21602102,35809054,15,negativo,920
21604436,21604571,35104877,10,negativo,921
21603163,21603165,35809330,24,negativo,922
21600096,21604714,35708202,14,negativo,923
21601423,21603800,36110642,60,negativo,924
21601518,21603080,37320158,12,negativo,925
21602732,21602734,35909508,15,negativo,926
21601428,21601435,36313550,14,negativo,927
21600303,21600493,35708208,14,negativo,928
21604348,21605129,37622449,12,negativo,929
21602734,21603925,36110320,13,negativo,930
21604431,21604440,35708202,12,negativo,931
21601423,21601431,35708642,18,negativo,932
21602338,21602735,42889647,15,negativo,933
21601423,21603929,36919045,10,negativo,934
21600604,21601911,35809243,24,negativo,935
21600096,21603929,35708093,18,negativo,936
21603777,21604344,35104877,15,negativo,937
21601423,21602734,37019425,11,negativo,938
21601435,21603929,35204960,15,negativo,939
21604348,21604745,36919230,15,negativo,940
21601390,21603929,36718540,10,negativo,941
21600083,21603288,35809054,10,negativo,942
21604298,21604740,36919230,13,negativo,943
21601431,21601435,35809054,28,negativo,944
21601129,21604344,37522220,10,negativo,945
21603929,21605271,35809207,21,negativo,946
21602338,21603895,35104236,11,negativo,947
21602735,21603980,36416501,11,negativo,948
21604436,21604566,35707713,11,negativo,949
21604544,21604745,35809310,17,negativo,950
21600096,21602256,36718132,33,negativo,951
21601390,21603718,35104871,26,negativo,952
21602256,21602735,36211462,19,negativo,953
1588697,21600098,37522181,10,negativo,954
21601423,21602256,35809076,64,negativo,955
21602730,21603800,35809207,34,negativo,956
21604556,21604562,35506601,16,negativo,957
21604433,21604434,35809327,11,negativo,958
21603980,21604344,36718321,30,negativo,959
21603908,21603909,35708202,63,negativo,960
21602085,21603925,35104883,18,negativo,961
21604543,21604556,36919235,13,negativo,962
21600083,21604344,36110597,20,negativo,963
21602256,21602735,35809329,27,negativo,964
21603448,21603980,35809243,33,negativo,965
21602102,21602737,35204960,13,negativo,966
21600664,21603929,35809005,12,negativo,967
21600097,21602338,37320193,20,negativo,968
21601390,21602102,36313524,16,negativo,969
21603924,21603929,36211181,24,negativo,970
21600965,21602648,36211462,12,negativo,971
21600448,21602648,36110715,30,negativo,972
21601394,21605271,35104877,10,negativo,973
21602338,21603925,36416501,71,negativo,974
21601423,21603749,35809207,16,negativo,975
21601431,21601435,36211181,20,negativo,976
21600493,21604571,36416595,45,negativo,977
21601699,21601789,35104884,13,negativo,978
21603895,21603896,35104868,11,negativo,979
21600083,21603080,35104883,15,negativo,980
21604393,21604643,35809327,41,negativo,981
21603356,21603392,37219942,13,negativo,982
21601423,21603929,35708156,93,negativo,983
21600747,21601699,36818729,12,negativo,984
21601429,21602730,35104691,10,negativo,985
21604344,21604571,35809243,13,negativo,986
21603448,21604712,36718265,12,negativo,987
21604402,21604643,43053854,21,negativo,988
21601390,21603929,36718229,33,negativo,989
21603800,21603929,36009756,22,negativo,990
21602735,21603925,37622529,15,negativo,991
21603967,21604431,37320212,14,negativo,992
21602338,21603756,35809327,18,negativo,993
21601423,21603131,35708208,21,negativo,994
21601394,21602102,42890355,10,negativo,995
21601435,21603929,36516749,28,negativo,996
21602256,21603967,35809243,11,negativo,997
21600493,21603080,35809054,33,negativo,998
21603908,21603911,35708208,52,negativo,999
21604422,21604432,37220005,10,negativo,1000
21604436,21604677,35205345,10,negativo,1001
21604559,21604640,788653,13,negativo,1002
21604559,21604571,35708208,11,negativo,1003
21603448,21603980,36718379,15,negativo,1004
21604431,40252237,37522220,11,negativo,1005
21600493,21604272,36313476,10,negativo,1006
21600658,21603285,36516876,10,negativo,1007
21601129,21601423,36211462,22,negativo,1008
21604543,21604544,36718301,12,negativo,1009
21602256,21603929,35104341,12,negativo,1010
21604559,21604562,35708202,21,negativo,1011
21601423,21603929,36718229,112,negativo,1012
21604559,21604562,35809327,80,negativo,1013
21602085,21603131,35708202,31,negativo,1014
21602730,21602737,35708202,18,negativo,1015
21604425,21604431,36776613,20,negativo,1016
21603756,21603925,36110922,12,negativo,1017
21601390,21603718,37219863,47,negativo,1018
21604422,21604574,36718119,15,negativo,1019
21601699,21602823,35104884,12,negativo,1020
21602735,21603924,37622449,12,negativo,1021
21604415,21604440,36416500,13,negativo,1022
21601390,21603718,37219907,18,negativo,1023
21601423,21603908,35808976,94,negativo,1024
21603312,21603356,36009756,18,negativo,1025
21603082,21604131,36313524,19,negativo,1026
21600096,21603909,35708044,26,negativo,1027
21600816,21604344,35708044,10,negativo,1028
21604417,21604433,36718540,11,negativo,1029
21602102,21603718,36110642,28,negativo,1030
21601390,21603908,35809327,13,negativo,1031
21603929,21604571,35708093,12,negativo,1032
21603312,21603448,36110597,12,negativo,1033
21600493,21602737,36776613,10,negativo,1034
21600575,21604260,35809054,18,negativo,1035
21603082,21604131,36416595,10,negativo,1036
21601431,21602732,36009892,12,negativo,1037
21602732,21602734,37219907,13,negativo,1038
21604201,21604272,36919127,33,negativo,1039
21603462,21604210,35909625,15,negativo,1040
21600718,21601129,36818646,11,negativo,1041
21600096,21603356,35205038,16,negativo,1042
21603392,21605129,36316012,26,negativo,1043
21602096,21604857,35204966,24,negativo,1044
21603980,21604714,36718379,10,negativo,1045
21600083,21604393,36776613,10,negativo,1046
21603748,21603929,37522220,74,negativo,1047
21604543,21604544,37522220,26,negativo,1048
21604544,21604559,36315380,14,negativo,1049
21600493,21603732,37522220,29,negativo,1050
21603131,21603929,35708202,12,negativo,1051
21601431,21601435,35809054,28,negativo,1052
21601518,21601534,37219863,15,negativo,1053
21600493,21602737,35708208,21,negativo,1054
21603497,21603980,35809304,11,negativo,1055
21603718,21603738,36416501,10,negativo,1056
21604711,21604888,35607439,11,negativo,1057
21600663,21603912,35809327,15,negativo,1058
21600493,21604566,35809054,11,negativo,1059
21601003,21603549,35809076,11,negativo,1060
21603613,21603929,36416595,10,negativo,1061
21600493,21601423,35104691,14,negativo,1062
21601431,21603895,35708093,11,negativo,1063
21602732,21603718,37522220,15,negativo,1064
21602085,21603131,36315575,16,negativo,1065
21602732,21602921,37622449,17,negativo,1066
21600663,21603909,36516818,15,negativo,1067
21601423,21603009,35104877,10,negativo,1068
21600448,21602648,36314117,74,negativo,1069
21602735,21604889,35708208,12,negativo,1070
21600100,21603911,35708202,10,negativo,1071
21603909,21603929,35708164,16,negativo,1072
21603009,21603967,35809243,16,negativo,1073
21603911,21604857,35708093,13,negativo,1074
21601423,21604571,35708208,10,negativo,1075
