triplet_id,drugA,drugB,meddra,type,N,dynamic,fold_change,model_success,injection_success,n_injected,n_coadmin,n_events,n_stages_significant,max_ior,mean_ior,model_aic,stage,log_ior,log_ior_lower90,ior_values,classic_success,log_ior_classic,log_ior_classic_lower90,ior_classic,spline_individuales,nichd_spline,include_sex,include_stage_sex,k_spline,bs_type,select,formula_used
1,21602730,21603080,35809054,positive,10453,uniform,1.10703643286739,TRUE,TRUE,28,187,10453,4,3.22652819801909,2.27623389653116,86573.1801002054,"1,2,3,4,5,6,7","1.17140669786249,1.0789790714845,0.959289366906588,0.798732819464202,0.627021674573283,0.487254521201323,0.359772195408203","-0.30268343444848,-0.012144935201629,0.179654827264378,0.285893048599518,0.267716141986519,0.0914656734990785,-0.2737291228506","3.22652819801909,2.94167477783315,2.60984117477554,2.22272255241905,1.87202676327279,1.62784087667194,1.43300293272659",TRUE,"NaN,1.5512678814127,1.24806147015118,1.86886856749657,0.120063363254441,0.396901295564471,0.455056810589137","NaN,0.234810272782818,0.0976972438138419,0.967329771733939,-0.527386837382266,-0.139241793970277,-0.523964156417253","NaN,4.71744755656168,3.48358337739686,6.48095948124514,1.12756829571271,1.48720912866889,1.57626292891602",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
2,21601431,21604436,42889498,positive,235,increase,2.4200722152428,TRUE,TRUE,9,62,235,5,45.4308372561347,15.9207173008682,3053.92557617913,"1,2,3,4,5,6,7","-2.36119696265792,0.037943171160463,2.29465842992251,3.43736678973598,2.59687368994461,2.34502191268912,3.81619110918843","-8.48479316036936,-3.14689911495262,0.775615975190677,2.52746282352958,1.77089987821588,1.16161844752981,2.13582035695402","0.094307273326857,1.03867220466521,9.92104670078421,31.1049443771245,13.4217119429265,10.4335013511156,45.4308372561347",TRUE,"NaN,NaN,NaN,2.55446575258253,Inf,Inf,Inf","NaN,NaN,NaN,1.04468552738121,NaN,NaN,NaN","NaN,NaN,NaN,12.8644250354587,Inf,Inf,Inf",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
3,21604272,21604566,36718301,positive,1709,decrease,1.62339274895688,TRUE,TRUE,2,98,1709,5,99.7469254466924,29.7718485878827,20349.9616509655,"1,2,3,4,5,6,7","4.6026362327054,3.74989617424085,2.55978144798814,2.15797414648542,2.85438117594692,3.25152767438073,0.306976982130658","1.33359932080476,2.37999479914806,0.542120729437802,-0.31726074200917,1.26613715893066,2.43073463726171,-1.64296756218333","99.7469254466923,42.5166674456206,12.9329904755608,8.65358898528502,17.3636888140287,25.8297692686917,1.35930967929929",TRUE,"NaN,Inf,NaN,NaN,-Inf,2.86469100835031,NaN","NaN,NaN,NaN,NaN,-Inf,1.89233996091954,NaN","NaN,Inf,NaN,NaN,0,17.5436315313555,NaN",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
4,21600083,21603925,35708154,positive,5613,plateau,1.44276978013416,TRUE,TRUE,13,116,5613,6,10.2748101335447,5.8975570071446,53366.6213897985,"1,2,3,4,5,6,7","2.32969528172443,2.23964228994164,2.09033707144987,1.81543077480233,1.36696090753109,0.809274929363291,0.196443446788743","0.115234311755792,0.684141050170741,0.939804305637585,0.968340224269516,0.806096490080545,0.213776955477536,-0.936577811429269","10.2748101335447,9.38997179925689,8.08764081772576,6.14372216819355,3.92340895602581,2.24627868535196,1.21706648991359",TRUE,"NaN,2.82247954064325,3.83493676631209,2.42968217814919,0.897916829258575,1.01200025570963,-0.0224062068618385","NaN,0.261842878067083,1.07870481960916,1.14473207092011,0.213880379397049,0.148830858877843,-1.80213146937013","NaN,16.8185011709602,46.2905004563432,11.3552725526993,2.45448467106359,2.75109841539387,0.977842947851062",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
5,21603448,21604566,36919230,positive,2074,inverse_plateau,1.39782731172939,TRUE,TRUE,7,101,2074,0,1.00026197757022,1.00012424473955,22023.0971107585,"1,2,3,4,5,6,7","-9.35036218052687e-06,3.42521843794685e-05,7.81187253409144e-05,0.000122568018770863,0.000167862581914591,0.000214236225033027,0.00026194326008433","-0.0062301812903924,-0.00876286652391797,-0.0172887833899123,-0.0266117246544371,-0.0362466569985045,-0.0461607401741249,-0.0563948083371444","0.999990649681534,1.00003425277099,1.00007812177669,1.00012257553054,1.00016787667163,1.00021425917525,1.00026197757022",TRUE,"NaN,NaN,NaN,NaN,Inf,-1.14031500560347,0.693073853283903","NaN,NaN,NaN,NaN,NaN,-2.39193990204379,-0.0447826966665514","NaN,NaN,NaN,NaN,Inf,0.319718292898254,1.99985335082467",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
6,21601399,21603896,35809327,positive,13319,uniform,2.02920583381615,TRUE,TRUE,69,303,13319,7,8.45318267147945,6.80155639595951,104894.564182638,"1,2,3,4,5,6,7","1.95190458048597,2.00344739626057,2.07415332315513,2.13454301796757,2.03076097841953,1.73821335891485,1.23436328864309","0.572682872795693,1.1130585617354,1.42568592086623,1.61888092180359,1.63195082452702,1.33095162079769,0.497982682305056","7.04208703791928,7.41457306156455,7.95780591590154,8.45318267147945,7.61988271935639,5.68717340262997,3.43618996286538",TRUE,"Inf,2.00123395280621,1.45444835000467,3.14197955456073,2.38894514819414,1.5613543422467,1.09175236224308","NaN,0.89347393587736,0.236256869049595,2.25892162341599,1.78908482633306,0.998279083481022,0.15299626103553","Inf,7.39817947318815,4.28212058212058,23.1496475214428,10.9019878939032,4.7652706841827,2.97949064747795",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
7,21604272,21604393,36416500,positive,194,increase,1.57180132033924,TRUE,TRUE,1,58,194,5,106.0127406097,39.4754282946243,2964.08344626661,"1,2,3,4,5,6,7","0.572799138772886,1.66494530563262,2.66390619704159,3.36077965933396,3.86459526974372,4.28232773504148,4.66355928132043","-1.82211530595003,-0.0142717120289759,0.896793246341052,1.38875689612457,1.64500394766231,1.57349696337334,1.12916758437657","1.77322361010971,5.28538416111204,14.3522424320869,28.811645392927,47.6839693815395,72.4087924748953,106.0127406097",TRUE,"NaN,NaN,0.73086353876139,NaN,NaN,Inf,NaN","NaN,NaN,-1.65550780805425,NaN,NaN,NaN,NaN","NaN,NaN,2.07687329412758,NaN,NaN,Inf,NaN",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
8,21600448,21604305,35809059,positive,3074,decrease,2.3521526629166,TRUE,TRUE,18,138,3074,6,5.81452454791524,4.06543447327768,32500.0141368155,"1,2,3,4,5,6,7","1.65249544478936,1.74278435129276,1.76035901958662,1.56518156527256,1.19766147274146,0.786058336850448,0.350420492389341","0.44371546635316,1.05386760695789,1.18804629229937,1.039291856762,0.699413268978639,0.0508304654818865,-0.946003807070685","5.21998978392092,5.71322893335445,5.81452454791524,4.78354338241106,3.31236181011651,2.19472847405521,1.41966438117039",TRUE,"NaN,1.82801317444884,Inf,2.38653673162634,0.638450193910724,1.25467882139231,-Inf","NaN,0.594446073888034,NaN,0.534262846204949,-0.819069770716238,-0.239675738359261,-Inf","NaN,6.22151330914217,Inf,10.8757629585983,1.89354397809155,3.5067119126049,0",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
9,21604712,21604762,36718320,positive,714,plateau,1.29749692545289,TRUE,TRUE,1,85,714,2,29.2854404750918,5.33235999404669,9662.83512604035,"1,2,3,4,5,6,7","-1.44523955871401,-1.13518369235182,-0.774965595755011,-0.288126166471725,0.424584817903188,1.55702497320063,3.37709048040837","-7.03459910022472,-5.33084305583271,-3.9771042231929,-2.7568219262045,-1.44188526223596,0.304610011916393,2.34996256995083","0.235689608292934,0.32136308397152,0.460719631437374,0.749667003431407,1.52895549291991,4.74468466318191,29.2854404750918",TRUE,"NaN,NaN,NaN,NaN,1.23058775830284,1.10012977528969,3.84175772169722","NaN,NaN,NaN,NaN,-0.91594054910051,-0.88178269140519,2.00509710828918","NaN,NaN,NaN,NaN,3.42324098342,3.00455591576108,46.6073251900314",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
10,21601399,21601435,35104341,positive,195,inverse_plateau,4.76337276873436,TRUE,TRUE,20,168,195,0,1.0000073907449,0.999994221473704,2664.91852092383,"1,2,3,4,5,6,7","7.39071758548704e-06,3.1951813994624e-06,-1.13715964822347e-06,-5.51866980558202e-06,-9.96899384109184e-06,-1.4661222737189e-05,-1.97499375120813e-05","-0.00379647000471485,-0.00305717785214446,-0.00365700071099471,-0.00507421176309404,-0.00679967655408898,-0.00869535003019501,-0.0107513724941506","1.0000073907449,1.0000031951865,0.999998862840998,0.999994481345422,0.999990031055849,0.999985338884738,0.999980250257517",TRUE,"NaN,Inf,NaN,-Inf,-0.299984698639173,Inf,-2.30870074437554","NaN,NaN,NaN,-Inf,-2.774036440711,NaN,-3.59211029078404","NaN,Inf,NaN,0,0.740829556295345,Inf,0.0993903011150519",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
