stage,log_lower90,log_ior,permutation
1,-1.10193626412276,-0.072517893533286,1
2,-0.77744549686552,0.0925398032808058,1
3,-0.748105848421293,0.259787532929304,1
4,-0.894252975959297,0.432265189814852,1
5,-1.11304796043402,0.613379491942724,1
6,-1.37548471720256,0.805990487351146,1
7,-1.68105562351757,1.00927950290456,1
1,-0.37720495213479,-0.0222002552581548,1
2,-0.408549039338205,-0.115606639656916,1
3,-0.478608797540209,-0.208303123605533,1
4,-0.573990866851237,-0.29907539760745,1
5,-0.681756682318237,-0.386517485216192,1
6,-0.804064452937814,-0.470421332295577,1
7,-0.952781231190852,-0.552233709362398,1
1,-0.00520547853531674,-6.8346869515068e-06,1
2,-0.00459413894564621,8.31342353624365e-06,1
3,-0.0056487984651819,2.36406815385948e-05,1
4,-0.00755997580418812,3.9361989350617e-05,1
5,-0.00979641054251899,5.5654233387159e-05,1
6,-0.0122138782453801,7.25294228471896e-05,1
7,-0.0147992961371427,8.98207221209368e-05,1
1,-0.0109165533782101,-2.87880375804406e-06,1
2,-0.0142913941545682,-4.60909943988952e-06,1
3,-0.0190879446194275,-6.28235303068436e-06,1
4,-0.0242325369227378,-7.87142086622339e-06,1
5,-0.0294616433589082,-9.39717890435787e-06,1
6,-0.0347839732604232,-1.08953844186743e-05,1
7,-0.0402460189916353,-1.23866032240016e-05,1
1,-1.12602924718866,-0.101448628149968,1
2,-1.24262703378233,-0.348195223004148,1
3,-1.50814818761994,-0.591929722347024,1
4,-1.85782264192989,-0.828085883472872,1
5,-2.23353851528689,-1.05113969725284,1
6,-2.63349358031474,-1.26208151627603,1
7,-3.09976865037115,-1.47366010045244,1
1,-0.00150428242492005,-3.95352452109421e-07,1
2,-0.00139365775849887,-4.44225058515713e-07,1
3,-0.0016810822422459,-4.94528254790794e-07,1
4,-0.00217639208442918,-5.38590343879264e-07,1
5,-0.00276393401689573,-5.87181768096912e-07,1
6,-0.0034169031582491,-6.67077247662462e-07,1
7,-0.00412061642851169,-7.61468925247755e-07,1
1,-0.00828831498399894,5.60331703081118e-06,1
2,-0.00803367547105605,3.32074624473933e-05,1
3,-0.0108736108295356,6.06388029087412e-05,1
4,-0.0149396069936094,8.76748927627347e-05,1
5,-0.0194220866487076,0.000114574363403896,1
6,-0.0241625705199103,0.000141904656209668,1
7,-0.0291716657687206,0.000170117201051312,1
1,-0.315353482149142,-0.0050137447783638,1
2,-0.187033550415916,0.0726587084174315,1
3,-0.139198935102131,0.150499730966618,1
4,-0.143266623409443,0.228907577652621,1
5,-0.171300562853379,0.307581301274318,1
6,-0.212367994974758,0.384349582981431,1
7,-0.26522989155549,0.458966700786604,1
1,-0.0050781497391789,-2.36584572821386e-06,1
2,-0.00449462171159427,2.62671923234592e-06,1
3,-0.0055909880982415,7.54984988926566e-06,1
4,-0.00753226437363363,1.23311680297888e-05,1
5,-0.0097870604515818,1.70037437308146e-05,1
6,-0.0122175816394947,2.17466389114129e-05,1
7,-0.0148099440231032,2.65355103352682e-05,1
1,-0.0030996139186739,5.01095571525667e-06,1
2,-0.00263416576601905,3.93630228501252e-06,1
3,-0.00288615840772788,2.80727588730656e-06,1
4,-0.00366429554178351,1.82142403204466e-06,1
5,-0.00468671695403916,1.12048541112131e-06,1
6,-0.00582561881356019,5.58958548779742e-07,1
7,-0.00705613025201607,-1.51057452768555e-07,1
1,-0.00628400868020429,2.03324059855348e-06,1
2,-0.00873229668686847,5.48346754296603e-05,1
3,-0.0148846895505118,0.000107476563269149,1
4,-0.0216692328482202,0.000159635342494635,1
5,-0.0285399998879327,0.000210966765099574,1
6,-0.035416261311935,0.000261531237773394,1
7,-0.042236353053045,0.000310827163792382,1
1,-0.254362892620619,-0.0071514621843547,1
