condition_name,meddra_concept_id,atc_concept_id,control
Acute liver injury,35909435,21600111,negative
Acute liver injury,35909507,21600111,negative
Acute liver injury,35909516,21600111,negative
Acute liver injury,35205233,21600111,negative
Acute liver injury,36313585,21600111,negative
Acute liver injury,35909557,21600111,negative
Acute liver injury,35909611,21600111,negative
Acute liver injury,35909613,21600111,negative
Acute liver injury,35909589,21600111,negative
Acute liver injury,35909594,21600111,negative
Acute liver injury,35909520,21600111,negative
Acute liver injury,35104306,21600111,negative
Acute liver injury,35909501,21600111,negative
Acute liver injury,36313594,21600111,negative
Acute liver injury,35909435,21600503,negative
Acute liver injury,35909507,21600503,negative
Acute liver injury,35909516,21600503,negative
Acute liver injury,35205233,21600503,negative
Acute liver injury,36313585,21600503,negative
Acute liver injury,35909557,21600503,negative
Acute liver injury,35909611,21600503,negative
Acute liver injury,35909613,21600503,negative
Acute liver injury,35909589,21600503,negative
Acute liver injury,35909594,21600503,negative
Acute liver injury,35909520,21600503,negative
Acute liver injury,35104306,21600503,negative
Acute liver injury,35909501,21600503,negative
Acute liver injury,36313594,21600503,negative
Acute liver injury,35909435,21604380,negative
Acute liver injury,35909507,21604380,negative
Acute liver injury,35909516,21604380,negative
Acute liver injury,35205233,21604380,negative
Acute liver injury,36313585,21604380,negative
Acute liver injury,35909557,21604380,negative
Acute liver injury,35909611,21604380,negative
Acute liver injury,35909613,21604380,negative
Acute liver injury,35909589,21604380,negative
Acute liver injury,35909594,21604380,negative
Acute liver injury,35909520,21604380,negative
Acute liver injury,35104306,21604380,negative
Acute liver injury,35909501,21604380,negative
Acute liver injury,36313594,21604380,negative
Acute liver injury,35909435,21603354,positive
Acute liver injury,35909507,21603354,positive
Acute liver injury,35909516,21603354,positive
Acute liver injury,35205233,21603354,positive
Acute liver injury,36313585,21603354,positive
Acute liver injury,35909557,21603354,positive
Acute liver injury,35909611,21603354,positive
Acute liver injury,35909613,21603354,positive
Acute liver injury,35909589,21603354,positive
Acute liver injury,35909594,21603354,positive
Acute liver injury,35909520,21603354,positive
Acute liver injury,35104306,21603354,positive
Acute liver injury,35909501,21603354,positive
Acute liver injury,36313594,21603354,positive
Acute liver injury,35909435,21603978,positive
Acute liver injury,35909507,21603978,positive
Acute liver injury,35909516,21603978,positive
Acute liver injury,35205233,21603978,positive
Acute liver injury,36313585,21603978,positive
Acute liver injury,35909557,21603978,positive
Acute liver injury,35909611,21603978,positive
Acute liver injury,35909613,21603978,positive
Acute liver injury,35909589,21603978,positive
Acute liver injury,35909594,21603978,positive
Acute liver injury,35909520,21603978,positive
Acute liver injury,35104306,21603978,positive
Acute liver injury,35909501,21603978,positive
Acute liver injury,36313594,21603978,positive
Acute liver injury,35909435,21603410,negative
Acute liver injury,35909507,21603410,negative
Acute liver injury,35909516,21603410,negative
Acute liver injury,35205233,21603410,negative
Acute liver injury,36313585,21603410,negative
Acute liver injury,35909557,21603410,negative
Acute liver injury,35909611,21603410,negative
Acute liver injury,35909613,21603410,negative
Acute liver injury,35909589,21603410,negative
Acute liver injury,35909594,21603410,negative
Acute liver injury,35909520,21603410,negative
Acute liver injury,35104306,21603410,negative
Acute liver injury,35909501,21603410,negative
Acute liver injury,36313594,21603410,negative
Acute liver injury,35909435,21603266,negative
Acute liver injury,35909507,21603266,negative
Acute liver injury,35909516,21603266,negative
Acute liver injury,35205233,21603266,negative
Acute liver injury,36313585,21603266,negative
Acute liver injury,35909557,21603266,negative
Acute liver injury,35909611,21603266,negative
Acute liver injury,35909613,21603266,negative
Acute liver injury,35909589,21603266,negative
Acute liver injury,35909594,21603266,negative
Acute liver injury,35909520,21603266,negative
Acute liver injury,35104306,21603266,negative
Acute liver injury,35909501,21603266,negative
Acute liver injury,36313594,21603266,negative
Acute liver injury,35909435,21604367,negative
Acute liver injury,35909507,21604367,negative
Acute liver injury,35909516,21604367,negative
Acute liver injury,35205233,21604367,negative
Acute liver injury,36313585,21604367,negative
Acute liver injury,35909557,21604367,negative
Acute liver injury,35909611,21604367,negative
Acute liver injury,35909613,21604367,negative
Acute liver injury,35909589,21604367,negative
Acute liver injury,35909594,21604367,negative
Acute liver injury,35909520,21604367,negative
Acute liver injury,35104306,21604367,negative
Acute liver injury,35909501,21604367,negative
Acute liver injury,36313594,21604367,negative
Acute liver injury,35909435,21604131,positive
Acute liver injury,35909507,21604131,positive
Acute liver injury,35909516,21604131,positive
Acute liver injury,35205233,21604131,positive
Acute liver injury,36313585,21604131,positive
Acute liver injury,35909557,21604131,positive
Acute liver injury,35909611,21604131,positive
Acute liver injury,35909613,21604131,positive
Acute liver injury,35909589,21604131,positive
Acute liver injury,35909594,21604131,positive
Acute liver injury,35909520,21604131,positive
Acute liver injury,35104306,21604131,positive
Acute liver injury,35909501,21604131,positive
Acute liver injury,36313594,21604131,positive
Acute liver injury,35909435,21603948,positive
Acute liver injury,35909507,21603948,positive
Acute liver injury,35909516,21603948,positive
Acute liver injury,35205233,21603948,positive
Acute liver injury,36313585,21603948,positive
Acute liver injury,35909557,21603948,positive
Acute liver injury,35909611,21603948,positive
Acute liver injury,35909613,21603948,positive
Acute liver injury,35909589,21603948,positive
Acute liver injury,35909594,21603948,positive
Acute liver injury,35909520,21603948,positive
Acute liver injury,35104306,21603948,positive
Acute liver injury,35909501,21603948,positive
Acute liver injury,36313594,21603948,positive
Acute liver injury,35909435,21603942,positive
Acute liver injury,35909507,21603942,positive
Acute liver injury,35909516,21603942,positive
Acute liver injury,35205233,21603942,positive
Acute liver injury,36313585,21603942,positive
Acute liver injury,35909557,21603942,positive
Acute liver injury,35909611,21603942,positive
Acute liver injury,35909613,21603942,positive
Acute liver injury,35909589,21603942,positive
Acute liver injury,35909594,21603942,positive
Acute liver injury,35909520,21603942,positive
Acute liver injury,35104306,21603942,positive
Acute liver injury,35909501,21603942,positive
Acute liver injury,36313594,21603942,positive
Acute liver injury,35909435,21603772,positive
Acute liver injury,35909507,21603772,positive
Acute liver injury,35909516,21603772,positive
Acute liver injury,35205233,21603772,positive
Acute liver injury,36313585,21603772,positive
Acute liver injury,35909557,21603772,positive
Acute liver injury,35909611,21603772,positive
Acute liver injury,35909613,21603772,positive
Acute liver injury,35909589,21603772,positive
Acute liver injury,35909594,21603772,positive
Acute liver injury,35909520,21603772,positive
Acute liver injury,35104306,21603772,positive
Acute liver injury,35909501,21603772,positive
Acute liver injury,36313594,21603772,positive
Acute liver injury,35909435,21601787,positive
Acute liver injury,35909507,21601787,positive
Acute liver injury,35909516,21601787,positive
Acute liver injury,35205233,21601787,positive
Acute liver injury,36313585,21601787,positive
Acute liver injury,35909557,21601787,positive
Acute liver injury,35909611,21601787,positive
Acute liver injury,35909613,21601787,positive
Acute liver injury,35909589,21601787,positive
Acute liver injury,35909594,21601787,positive
Acute liver injury,35909520,21601787,positive
Acute liver injury,35104306,21601787,positive
Acute liver injury,35909501,21601787,positive
Acute liver injury,36313594,21601787,positive
Acute liver injury,35909435,21600371,negative
Acute liver injury,35909507,21600371,negative
Acute liver injury,35909516,21600371,negative
Acute liver injury,35205233,21600371,negative
Acute liver injury,36313585,21600371,negative
Acute liver injury,35909557,21600371,negative
Acute liver injury,35909611,21600371,negative
Acute liver injury,35909613,21600371,negative
Acute liver injury,35909589,21600371,negative
Acute liver injury,35909594,21600371,negative
Acute liver injury,35909520,21600371,negative
Acute liver injury,35104306,21600371,negative
Acute liver injury,35909501,21600371,negative
Acute liver injury,36313594,21600371,negative
Acute liver injury,35909435,21601797,positive
Acute liver injury,35909507,21601797,positive
Acute liver injury,35909516,21601797,positive
Acute liver injury,35205233,21601797,positive
Acute liver injury,36313585,21601797,positive
Acute liver injury,35909557,21601797,positive
Acute liver injury,35909611,21601797,positive
Acute liver injury,35909613,21601797,positive
Acute liver injury,35909589,21601797,positive
Acute liver injury,35909594,21601797,positive
Acute liver injury,35909520,21601797,positive
Acute liver injury,35104306,21601797,positive
Acute liver injury,35909501,21601797,positive
Acute liver injury,36313594,21601797,positive
Acute liver injury,35909435,21601420,positive
Acute liver injury,35909507,21601420,positive
